horas_estudio_semana,asistencia_pct,tareas_entregadas,internet_en_casa,promedio_previo,horas_sueno,participacion_clase,distancia_km,aprueba
3,83.6,10,0,6.12,6.1,2,11.8,1
20,80.8,6,0,4.61,4.4,2,0.5,1
17,84.9,7,0,2.75,6.4,1,3.1,1
11,95.1,5,0,3.47,4.7,4,16.5,1
11,84.2,0,0,4.25,7.8,2,20.7,1
22,77.9,0,0,4.5,8.4,5,19.9,1
3,93.1,2,0,4.63,5.6,3,0.5,1
18,86.3,2,0,5.03,7.0,5,13.4,1
6,97.4,9,0,4.72,5.7,4,19.1,1
3,83.8,9,1,5.94,5.8,2,0.5,1
14,69.8,9,0,4.39,7.5,4,10.9,1
25,68.3,7,0,4.22,6.6,2,13.2,1
19,98.5,6,0,5.43,8.7,1,8.6,1
20,99.2,7,1,3.62,6.0,2,0.5,1
18,80.2,4,0,5.35,7.8,2,8.4,1
20,78.2,7,0,5.09,6.7,1,8.4,1
13,96.6,8,0,4.87,7.6,1,9.8,1
4,70.9,8,0,6.43,6.1,5,6.5,1
21,73.1,6,0,4.44,6.5,3,7.5,1
12,88.4,0,0,6.85,6.5,3,10.7,1
13,78.1,7,1,4.8,5.6,5,14.5,1
10,81.9,4,1,3.85,7.4,2,8.6,1
5,80.4,8,0,5.06,7.4,3,7.7,1
24,85.4,5,1,4.03,7.3,5,11.7,1
20,96.1,9,1,4.32,8.4,4,0.5,1
17,82.9,3,0,5.36,8.3,2,14.8,1
11,88.4,10,0,5.5,6.2,2,11.0,1
21,61.5,9,0,4.44,7.0,1,11.3,1
14,81.5,3,1,5.89,5.9,1,18.7,1
12,73.6,5,0,6.04,6.6,1,0.5,1
12,69.8,5,1,6.29,5.9,4,0.5,1
6,73.2,8,0,5.48,8.5,4,13.2,1
3,78.7,7,1,6.23,7.0,3,10.9,1
14,91.2,9,1,3.31,6.3,4,12.4,1
23,68.7,4,0,4.71,8.0,1,7.3,1
2,82.3,5,0,4.22,4.0,2,16.3,1
22,77.2,4,1,5.11,4.2,2,18.5,1
21,78.7,10,0,4.49,7.6,5,14.9,1
7,92.0,3,0,4.85,6.7,4,8.9,1
16,87.4,6,1,6.69,6.9,5,0.5,1
5,95.4,1,0,4.85,5.0,2,17.2,1
19,80.5,9,0,5.37,6.6,5,20.8,1
18,75.0,4,0,4.79,9.0,1,16.2,1
9,79.8,3,0,5.07,7.6,2,4.0,1
2,84.4,6,1,5.01,6.8,3,16.4,1
25,83.8,5,1,5.4,6.1,1,17.9,1
12,71.2,9,0,6.05,6.1,5,23.5,1
23,82.9,5,0,6.48,4.0,5,4.0,1
17,84.3,5,1,5.28,6.9,3,9.2,1
20,100.0,1,0,5.53,7.6,2,17.0,1
19,100.0,0,0,3.96,4.7,1,11.5,1
5,73.5,4,0,4.92,5.8,4,2.1,1
10,79.1,10,0,5.85,5.2,3,14.3,1
