temperatura_motor_C,vibracion_mm_s,presion_bar,horas_operacion,humedad_pct,carga_pct,mantenimiento_reciente,estado_maquina
71.0,4.58,35.6,2739,37.1,58.9,1,advertencia
80.1,2.04,41.1,2235,36.3,75.0,0,advertencia
73.8,3.1,35.7,2630,42.7,34.7,0,advertencia
82.6,3.05,22.2,1532,36.5,92.7,1,normal
79.0,5.73,29.6,4701,28.5,67.3,0,critica
86.3,5.56,32.5,1960,55.3,87.1,0,advertencia
72.3,4.67,32.1,4261,55.5,44.6,1,critica
78.9,1.9,34.2,2076,77.5,47.4,1,normal
64.3,3.67,25.5,2329,42.0,43.1,1,normal
60.8,2.93,31.4,3098,56.4,68.5,1,advertencia
88.5,5.68,33.5,1463,56.7,65.2,1,normal
70.6,6.2,36.0,1255,48.2,55.6,1,normal
77.7,6.0,26.2,2020,63.2,45.7,0,advertencia
69.5,2.92,28.9,4060,63.6,41.2,0,critica
61.0,0.6,15.0,894,56.9,63.1,0,normal
68.1,1.2,27.3,2300,48.2,55.6,1,advertencia
85.2,6.62,27.9,3426,46.6,51.7,1,critica
74.7,3.52,24.9,3589,31.5,91.8,0,critica
47.5,2.92,32.0,2285,39.9,62.5,1,advertencia
65.4,6.99,30.7,590,42.7,86.9,0,normal
89.4,6.35,17.4,276,35.1,54.4,1,normal
65.4,4.24,32.3,2455,58.6,68.4,1,advertencia
46.4,3.7,25.4,4088,69.9,63.0,1,critica
90.7,3.98,33.9,335,38.4,33.4,1,normal
76.2,4.59,23.3,4459,56.3,89.7,1,critica
67.2,6.92,31.2,3444,36.5,61.6,0,critica
63.5,4.92,29.3,238,47.4,77.4,0,normal
81.0,5.43,32.8,1849,41.6,50.5,1,advertencia
61.5,6.19,31.7,1258,61.0,61.0,0,normal
81.8,2.21,29.5,4756,41.8,48.4,0,critica
74.5,5.48,21.8,2862,67.2,86.2,0,critica
70.9,3.7,22.1,1755,48.3,69.6,1,advertencia
69.7,0.6,27.5,1534,42.3,70.6,1,normal
65.9,0.6,31.0,2906,33.2,88.4,1,advertencia
80.5,2.47,27.4,224,55.8,84.8,1,normal
57.6,5.1,34.8,1435,65.4,77.8,1,normal
48.5,4.39,29.3,993,56.1,38.4,1,normal
75.4,4.51,25.2,3176,85.6,51.5,1,critica
75.6,7.52,29.3,3412,73.4,45.9,0,critica
73.8,2.04,32.4,2441,47.4,77.1,1,advertencia
72.9,4.15,32.9,872,47.2,67.1,0,normal
64.2,4.72,42.3,1979,59.0,39.0,1,normal
77.4,2.95,27.0,4245,39.4,60.6,1,critica
67.5,4.25,30.6,1177,69.5,37.1,1,normal
62.2,1.48,33.6,984,57.4,63.0,1,normal
64.3,6.6,30.9,735,55.8,34.2,1,normal
92.2,3.04,28.0,4120,62.3,73.5,1,critica
47.2,7.65,21.7,775,77.8,70.8,0,normal
74.0,4.14,27.9,2991,54.6,98.3,0,critica
47.9,5.95,24.6,4995,50.3,79.3,1,critica
66.7,4.11,20.6,3280,74.6,56.4,1,critica
62.8,4.15,26.2,2179,66.5,78.7,0,normal
43.0,3.21,24.7,1192,47.2,38.8,1,normal
72.7,4.4,34.5,209,52.1,46.7,1,normal
63.4,4.74,34.6,946,54.9,70.0,1,normal
42.8,2.87,25.6,4774,57.4,25.2,0,critica
78.1,3.99,29.4,889,31.7,63.3,1,normal
85.2,3.16,19.9,295,28.9,45.6,0,normal
85.9,8.11,28.0,4117,38.7,65.8,0,critica
72.3,4.05,33.4,2209,37.5,44.6,1,advertencia
68.6,6.83,35.9,1913,42.3,71.6,1,advertencia
83.9,3.87,26.7,3643,61.5,64.3,0,critica
88.2,4.64,37.3,2710,49.5,89.2,0,advertencia
81.6,1.95,21.9,4590,54.9,64.1,0,critica
56.7,3.44,23.5,2444,33.6,50.2,1,advertencia
70.4,4.56,35.3,3621,45.1,59.6,1,advertencia
73.3,6.9,41.0,4418,60.8,39.8,0,critica
46.3,4.58,34.0,2425,60.9,71.3,0,advertencia
73.6,6.55,30.8,1564,41.1,74.6,1,normal
95.3,5.29,17.8,4877,54.4,100.0,0,critica
75.7,6.97,18.9,1288,85.0,52.8,0,advertencia
85.7,4.1,31.8,388,51.7,59.2,0,normal
70.2,8.26,28.9,2975,41.6,53.6,1,advertencia
67.1,3.37,24.4,4937,49.4,67.8,0,critica
72.6,2.9,31.4,614,53.4,70.9,0,normal
58.2,2.14,31.7,4277,49.7,63.0,0,critica
56.4,8.16,36.7,4186,51.5,83.6,0,critica
83.2,5.59,31.8,4658,30.3,52.9,0,critica
84.5,3.63,38.4,2223,37.6,81.8,0,advertencia
56.1,6.32,31.0,1422,49.8,73.7,0,advertencia
79.6,5.37,30.3,2658,49.5,63.8,0,advertencia
67.0,7.54,37.4,883,43.5,58.3,0,normal
72.1,1.57,25.1,4245,49.3,100.0,1,critica
73.5,3.75,47.9,3383,52.9,49.3,0,critica
79.9,3.41,33.3,2519,65.3,69.4,1,advertencia
69.0,0.84,33.3,2676,50.5,50.5,1,advertencia
84.9,6.0,34.2,3618,58.0,96.1,1,critica
71.7,3.74,42.3,2711,43.9,80.0,1,advertencia
75.5,5.46,35.8,4231,60.6,51.8,1,critica
58.0,8.21,21.4,4638,57.6,73.2,0,critica
93.9,3.6,39.4,4758,65.0,68.6,0,critica
