temperatura_exterior_C,humedad_exterior_pct,ocupacion_personas,equipos_activos,hora_punta,area_m2,nivel_aislamiento,radiacion_solar,consumo_kWh
13.3,63.1,46,4,0,454,2,4.0,182.26
13.9,68.6,39,33,1,276,5,7.4,196.67
17.5,87.3,82,54,0,953,5,7.2,331.34
20.3,52.3,105,39,0,725,5,5.6,323.07
21.4,50.5,34,18,0,569,3,4.6,208.04
18.0,43.7,38,37,1,523,1,5.9,285.04
8.7,59.5,99,23,0,826,1,4.9,330.86
23.1,59.4,58,27,0,187,1,4.5,211.33
17.6,47.3,64,16,0,1123,5,5.4,272.41
26.1,54.9,86,38,0,712,3,4.1,327.17
13.0,33.3,20,14,0,334,2,5.2,152.34
6.8,68.1,105,28,1,682,3,5.1,331.07
17.8,47.8,47,56,1,1034,1,5.8,360.94
27.1,56.6,80,46,0,273,3,3.7,302.47
19.1,39.9,54,26,1,666,3,6.0,266.7
16.6,50.0,91,58,1,749,4,3.3,394.43
11.9,53.6,75,3,0,987,1,3.8,276.17
30.3,56.9,24,57,1,715,5,3.9,309.43
10.8,62.8,26,23,1,904,1,3.0,274.8
12.9,74.3,105,49,0,946,3,6.5,386.94
22.0,65.8,64,57,1,1078,2,3.2,379.52
5.0,68.5,36,37,0,484,4,3.6,219.7
26.9,74.4,21,37,0,868,4,6.9,243.89
22.4,63.8,19,45,1,358,1,3.8,270.04
24.3,56.6,110,16,0,1025,3,4.5,339.81
21.9,69.1,117,13,0,1145,3,3.1,355.13
16.9,69.9,50,22,1,409,3,6.2,259.36
10.6,64.8,28,30,1,708,1,6.2,242.26
17.0,39.5,53,45,0,1001,1,6.1,336.01
11.2,46.9,20,17,0,110,3,5.7,124.29
21.4,53.7,68,35,0,869,2,4.9,312.48
23.6,66.4,76,3,0,999,3,3.9,282.36
28.3,56.7,118,4,1,1055,1,3.4,376.83
20.6,70.6,41,58,1,300,4,7.0,273.51
24.5,72.8,27,51,0,928,1,6.1,299.72
15.9,71.4,20,52,0,960,4,3.6,268.05
14.7,71.5,48,21,1,83,5,4.9,194.95
21.3,44.6,74,32,1,869,2,4.3,344.01
15.3,62.8,12,41,0,781,1,2.9,233.61
19.9,49.7,92,17,1,1165,1,5.1,381.38
10.6,37.2,57,45,0,128,2,4.1,233.92
11.8,53.6,96,42,0,1161,1,3.2,385.39
22.4,72.9,58,26,1,719,5,2.3,291.5
24.2,62.5,22,27,1,387,5,2.1,204.3
11.1,81.2,7,20,1,513,5,4.2,150.05
22.7,59.1,69,48,1,938,5,4.7,369.73
14.3,86.4,67,59,0,1195,3,3.3,381.14
18.1,59.1,98,59,1,434,2,5.9,376.93
27.9,57.3,105,46,0,1181,3,4.7,413.38
23.7,41.6,23,22,0,784,2,5.8,238.02
23.6,70.3,41,47,1,295,5,4.5,248.85
31.4,51.0,28,16,0,749,3,3.5,209.59
13.1,49.2,17,54,0,977,2,5.0,269.67
11.1,72.4,5,18,1,141,4,2.7,150.31
12.9,70.9,14,25,1,168,2,5.7,184.82
16.2,70.6,65,8,1,85,2,3.2,213.75
2.0,52.7,22,7,0,718,2,6.4,173.0
16.5,56.4,27,25,1,144,1,4.2,213.5
14.2,56.3,18,34,0,1123,1,6.6,262.01
23.5,66.4,88,3,1,223,3,2.9,251.51
20.5,75.6,78,51,1,160,5,3.6,302.78
13.8,61.4,115,9,1,368,2,5.4,289.9
22.1,80.7,17,59,1,934,4,6.8,305.9
23.1,67.8,29,18,0,1095,2,7.6,258.51
12.6,54.2,57,24,0,361,2,4.9,202.97
14.5,66.9,79,12,1,660,1,7.9,286.35
2.4,77.5,19,49,1,946,3,4.3,270.57
10.4,81.0,29,44,0,972,4,6.7,270.41
12.8,71.2,53,7,0,251,2,3.2,164.34
18.5,57.3,7,9,0,1018,3,5.5,183.14
11.4,54.4,50,37,0,1051,3,0.8,292.46
14.4,63.9,92,52,1,903,2,2.9,413.56
9.4,77.1,65,9,0,670,4,5.6,215.92
19.2,62.2,54,15,0,518,3,2.6,247.97
21.0,62.5,61,34,1,1076,1,5.5,364.24
20.8,57.6,113,9,0,1047,3,6.3,330.35
18.1,53.1,64,20,0,660,2,3.9,266.14
7.2,55.1,66,3,1,911,4,3.2,242.51
13.7,58.6,112,31,0,527,2,4.0,340.47
15.1,77.6,23,43,1,912,5,3.2,254.75
15.2,54.1,16,26,1,180,4,4.6,154.14
18.5,57.6,56,17,1,1089,1,5.0,321.41
28.0,46.6,41,27,0,657,3,4.3,263.32
23.7,65.6,28,32,1,750,5,7.6,216.52
11.1,73.4,18,12,1,292,2,3.6,187.35
22.7,76.5,105,9,0,672,4,7.2,286.21
22.5,59.4,75,13,1,83,4,3.0,205.95
12.4,63.9,84,59,1,1076,4,4.9,357.39
23.9,55.2,18,44,1,918,1,6.8,283.14
16.9,63.3,44,10,0,588,2,6.7,205.77
8.1,60.8,76,20,1,1016,2,4.1,318.39
21.2,57.7,65,26,0,988,2,5.7,314.46
19.5,58.7,84,13,0,213,5,5.5,203.81
16.4,62.4,81,51,0,140,1,3.9,290.81
17.7,53.5,52,56,0,363,3,5.8,266.09
13.0,54.1,95,16,0,81,5,8.0,201.49
22.3,77.5,34,3,1,721,5,5.6,204.9
17.7,89.5,14,18,1,671,4,5.8,192.68
19.2,42.5,110,36,0,682,5,5.9,333.96
20.5,41.9,7,49,0,162,3,2.3,181.79
9.9,45.5,37,22,1,1108,4,5.6,244.97
11.7,55.8,18,18,1,1173,3,3.1,242.67
2.5,67.7,31,17,1,741,1,3.8,243.87
22.0,64.1,50,3,0,86,1,8.5,167.79
9.5,59.1,19,3,0,523,5,4.4,110.97
18.9,63.3,58,27,0,884,1,3.5,313.14
20.6,48.7,111,38,0,918,2,6.8,403.86
22.2,54.1,20,3,1,352,4,3.2,160.58
9.6,56.8,111,14,0,1001,3,4.0,339.61
17.5,38.0,52,54,1,1163,3,6.9,366.58
29.7,43.1,73,59,1,649,5,4.9,345.72
30.0,43.5,55,39,1,507,4,2.1,296.54
24.9,66.2,41,32,0,669,5,5.7,222.47
20.4,59.9,17,36,0,110,4,4.1,163.76
11.0,64.3,73,24,0,666,5,7.4,232.02
23.0,34.9,110,14,0,110,4,3.8,245.22
16.9,39.2,64,24,1,118,3,6.6,213.4
21.9,65.0,73,42,1,699,5,7.8,310.13
13.6,23.7,79,40,0,652,5,3.4,283.95
16.8,71.7,49,41,1,1185,1,4.5,359.32
19.1,35.1,18,37,1,648,5,5.5,196.04
19.7,67.1,63,6,0,1177,4,3.3,264.21
21.5,46.3,104,38,1,983,5,5.3,355.68
13.9,69.6,41,53,1,457,4,4.4,276.98
8.6,90.0,105,39,1,1117,5,4.4,388.92
29.4,29.7,103,36,1,620,2,4.9,375.32
35.4,65.3,33,15,0,746,1,4.9,248.41
21.1,35.3,71,48,1,192,1,5.1,311.9
8.7,62.1,90,28,1,318,2,3.8,286.07
12.6,54.5,61,17,0,664,2,3.9,232.11
21.6,58.6,85,30,1,383,3,4.6,312.05
27.4,46.1,109,9,1,751,1,4.7,364.22
9.5,66.4,77,55,0,169,1,4.1,309.5
17.1,39.6,101,43,0,361,3,5.4,302.43
19.4,71.9,97,21,1,824,4,1.7,355.15
24.1,52.1,98,48,1,765,1,3.6,404.14
15.6,40.2,103,6,0,1181,3,4.3,327.88
7.1,76.1,30,25,0,1087,4,3.3,230.95
22.3,56.2,7,40,1,987,4,7.6,251.77
25.9,79.9,22,4,0,81,1,4.8,123.43
17.4,71.7,33,43,0,754,4,5.1,250.86
20.8,47.4,84,49,0,336,1,4.0,325.89
14.7,56.0,63,36,0,378,2,4.8,253.63
12.1,58.5,58,14,1,315,2,2.7,251.18
25.2,75.3,6,45,0,590,5,4.5,198.85
20.7,62.3,83,22,1,218,1,3.2,285.39
21.4,59.1,46,44,1,675,4,4.3,282.66
28.5,54.6,92,38,1,266,5,0.5,311.46
10.6,56.4,17,8,1,640,5,2.9,175.12
14.1,72.7,38,8,1,781,2,7.3,248.12
19.1,57.0,11,3,1,281,1,6.2,146.77
14.0,52.3,37,7,1,195,2,7.0,160.67
23.5,50.2,111,20,0,983,4,7.2,323.81
16.7,50.4,61,4,1,907,1,5.9,291.53
11.1,40.2,55,56,0,372,4,4.0,270.4
18.5,48.0,36,55,0,1073,2,3.0,325.74
19.2,75.0,35,12,0,327,4,6.7,146.17
24.5,54.5,81,20,1,1117,4,4.9,323.9
20.8,65.5,118,45,1,206,3,9.0,350.91
21.2,27.3,90,40,0,819,4,4.2,334.29
20.2,63.8,89,36,1,101,5,8.2,241.75
16.7,55.1,59,59,0,301,2,4.5,287.43
13.0,51.2,16,38,0,533,3,7.1,213.49
20.0,59.2,88,41,0,175,4,7.7,264.84
15.7,51.1,98,31,1,591,5,3.1,333.15
29.8,31.5,63,32,0,339,3,4.0,265.85
27.4,68.1,15,19,0,190,2,3.0,161.25
22.4,59.9,86,32,1,1157,5,2.7,362.45
20.6,53.2,110,55,0,1179,5,5.9,405.76
17.4,45.4,30,24,1,1157,3,4.5,266.15
9.2,39.4,23,10,1,252,1,4.9,152.08
16.5,59.7,89,37,0,507,2,5.7,326.9
18.7,76.4,43,47,1,446,3,1.6,278.53
19.6,59.4,87,57,1,444,4,7.0,355.14
21.3,40.4,85,33,0,546,4,4.2,282.36
24.4,59.7,35,47,0,651,5,5.7,252.21
13.2,56.4,9,17,0,623,1,5.9,184.31
13.2,67.4,68,27,0,406,3,7.1,230.71
28.2,64.3,51,26,0,1177,4,4.6,309.48
23.4,21.2,103,21,0,1177,5,1.2,318.72
15.3,63.5,46,43,1,450,1,4.9,293.78
17.2,45.0,33,53,0,327,5,5.1,187.64
17.3,39.9,103,21,0,676,1,3.0,322.62
18.2,54.7,89,10,0,493,1,5.1,280.97
