monto_usd,antiguedad_cliente_meses,intentos_24h,distancia_km,transaccion_noche,pais_nuevo,dispositivo_nuevo,indice_historial_confiable,fraude
74.17,120,3,0.0,1,0,0,0.89,0
46.68,125,7,0.0,0,0,1,0.72,0
20.42,34,5,0.0,0,0,0,0.92,0
55.11,25,1,44.1,0,0,1,0.74,0
75.01,69,1,0.0,1,1,1,0.75,0
93.65,109,1,8.5,1,0,1,0.73,0
53.05,111,3,64.8,0,0,1,1.0,0
15.0,140,1,22.2,0,0,0,0.78,0
22.15,56,2,48.9,0,0,0,1.0,0
229.02,155,6,0.0,0,0,1,1.0,0
29.66,81,7,0.0,1,1,0,0.7,0
152.56,45,6,65.1,1,0,0,0.35,1
32.88,132,4,25.0,1,0,0,0.99,0
53.59,23,5,25.1,0,0,1,0.77,0
90.59,73,7,0.0,0,1,0,0.68,0
35.41,140,1,25.0,0,0,0,0.73,0
169.85,139,7,0.0,0,0,0,0.75,0
63.38,46,6,57.6,1,0,0,1.0,0
81.41,30,3,103.8,0,0,1,0.85,0
50.71,6,4,36.5,1,0,1,1.0,1
92.59,16,4,3.0,0,0,1,0.9,0
168.38,148,2,0.0,1,1,1,0.77,0
55.4,141,2,0.0,0,0,0,0.76,0
185.73,91,3,68.6,0,1,1,0.91,1
40.55,103,1,0.0,0,1,0,0.95,0
99.15,59,4,10.9,1,0,0,0.98,0
82.92,35,4,41.7,1,0,0,0.78,1
30.13,3,3,66.5,1,0,0,0.85,1
69.34,121,2,16.0,1,1,1,0.91,0
60.63,7,7,9.9,1,0,0,0.76,0
34.65,19,5,24.1,0,0,1,0.64,0
76.15,142,4,3.2,1,0,0,0.69,0
66.36,105,6,4.8,0,0,0,0.78,0
57.56,88,3,34.4,1,0,0,0.93,0
57.71,40,2,27.6,1,0,0,1.0,0
56.91,27,5,85.9,1,1,0,0.6,1
47.51,84,6,35.2,0,0,1,0.72,1
66.08,65,5,56.5,1,0,1,0.76,1
39.7,96,4,0.0,1,1,1,0.95,0
339.31,30,1,37.8,0,0,0,0.74,0
24.14,42,5,0.3,0,0,1,0.75,0
41.26,21,5,33.9,1,1,1,0.59,1
43.44,76,3,42.7,1,0,0,0.9,0
227.31,50,2,23.5,1,1,1,0.79,1
25.58,40,7,94.2,0,0,1,0.72,1
79.59,99,3,64.8,0,0,1,0.78,0
70.91,90,2,57.3,1,0,0,1.0,0
74.95,38,5,44.9,0,0,0,0.66,0
134.78,126,4,74.9,1,0,0,0.69,0
132.99,62,4,0.0,1,1,0,1.0,0
45.01,62,5,63.1,1,1,0,0.83,1
68.45,86,3,0.0,0,0,0,0.93,0
17.96,25,2,5.1,1,1,0,0.88,0
64.35,76,2,38.8,1,1,1,0.81,0
36.01,105,7,59.0,0,1,0,0.76,0
53.46,24,4,0.0,1,1,0,0.95,1
20.18,102,3,6.6,1,0,0,1.0,0
78.51,7,3,24.9,0,0,0,0.99,0
20.03,109,6,16.4,1,1,1,0.63,1
66.45,7,7,47.6,0,1,1,1.0,1
27.19,32,6,125.1,1,1,1,0.76,1
34.73,63,4,34.6,1,0,1,0.7,1
127.81,111,4,0.0,0,1,0,0.79,0
88.42,129,7,0.0,0,0,1,0.95,0
127.36,84,6,12.2,0,1,1,0.91,1
166.3,24,3,0.0,1,0,0,0.78,0
36.51,70,7,36.0,1,0,1,0.95,1
159.87,141,6,35.6,0,1,1,0.84,0
23.28,17,6,8.1,1,1,1,0.73,1
98.0,129,1,81.5,0,0,0,0.71,0
43.79,70,1,0.0,0,0,0,0.89,0
32.96,1,3,18.4,1,0,0,0.81,0
89.96,125,6,41.2,1,0,0,0.6,0
111.52,5,1,48.8,0,1,1,0.96,0
109.39,67,1,60.3,1,0,0,0.74,0
69.38,35,1,34.9,1,0,1,1.0,0
65.74,105,2,53.5,0,1,0,0.6,0
84.98,11,7,2.0,1,1,0,0.79,1
73.51,17,6,49.5,0,0,1,0.71,1
85.79,96,6,49.1,0,1,0,0.66,1
68.9,178,3,67.4,1,1,0,0.74,0
104.36,8,5,0.0,0,1,0,1.0,0
20.95,83,6,0.0,1,0,0,0.84,0
55.41,144,4,46.7,1,1,1,0.69,1
24.54,53,6,0.0,0,1,1,0.53,1
72.23,89,4,36.8,1,1,1,0.54,1
175.43,151,3,53.8,0,1,1,0.73,0
44.34,131,5,4.7,1,0,0,0.72,0
65.54,53,7,9.1,0,1,1,0.78,1
98.66,135,6,0.0,1,1,0,0.46,0
15.74,121,4,6.4,0,1,0,0.81,0
42.98,91,5,7.2,0,1,1,0.98,0
76.47,79,7,1.5,0,0,0,1.0,0
15.0,166,6,0.0,0,1,1,0.52,0
31.98,157,4,13.9,0,1,1,0.69,0
123.42,178,2,13.5,1,1,0,0.68,0
115.81,121,7,78.2,1,1,0,0.84,1
76.96,65,7,10.2,1,1,1,0.62,1
107.06,20,1,32.3,0,0,1,1.0,0
69.4,23,1,4.7,1,1,1,0.83,0
86.57,171,1,4.3,0,1,1,0.8,0
49.15,66,3,0.0,0,0,0,1.0,0
65.06,20,2,0.0,1,0,0,0.82,0
40.0,40,7,0.0,1,0,1,0.88,1
137.18,4,7,27.5,0,0,0,0.7,1
162.23,96,2,54.3,1,1,1,0.6,1
147.96,106,6,0.0,1,0,1,0.72,1
46.28,68,1,5.5,0,1,1,1.0,0
32.46,134,6,0.0,0,0,0,0.92,0
138.38,87,3,14.1,1,0,1,0.86,0
85.93,172,1,54.3,0,1,0,0.66,0
74.71,137,3,8.6,1,0,1,0.97,0
39.97,14,6,20.6,0,1,0,0.6,1
79.57,50,7,65.7,0,1,1,0.57,1
29.8,136,1,35.7,1,0,0,0.73,0
91.12,97,6,0.0,0,0,0,1.0,0
147.86,135,3,26.8,0,1,0,1.0,0
174.2,60,4,0.0,0,1,1,0.75,1
95.64,7,1,34.6,1,0,0,0.71,0
24.57,141,7,37.5,1,1,0,0.56,1
68.6,141,6,0.0,1,0,0,0.83,0
242.45,115,5,27.3,0,0,0,0.85,0
34.31,73,6,18.5,1,1,0,0.95,0
58.06,2,7,38.3,0,0,0,0.97,0
151.23,131,2,46.9,0,0,1,0.79,0
90.12,119,2,36.3,0,1,1,0.91,0
302.51,120,1,12.9,1,1,1,0.71,1
37.47,31,4,50.0,0,0,1,0.91,1
31.71,131,4,0.0,1,1,0,0.74,0
133.71,130,1,0.0,0,1,1,0.89,0
27.73,154,5,0.0,0,0,0,0.88,0
53.1,102,1,19.9,1,0,1,0.83,0
57.82,131,6,0.0,1,1,0,0.95,0
118.32,72,5,33.9,0,0,0,0.57,0
89.95,125,6,0.0,0,1,0,0.65,0
81.21,125,1,2.6,0,0,1,0.78,0
46.45,140,7,36.1,1,1,0,0.59,1
132.92,154,4,0.0,0,1,1,0.75,0
826.16,1,7,34.3,0,0,0,0.76,1
94.57,140,5,5.3,0,1,0,1.0,0
64.38,142,5,21.0,0,1,1,0.84,0
25.96,98,1,39.9,0,1,1,0.98,0
39.87,94,5,50.6,1,0,1,0.87,1
52.51,130,4,24.8,1,0,1,0.73,0
42.63,82,6,0.0,0,1,1,0.84,1
59.71,75,5,8.3,1,1,0,0.94,0
191.66,144,1,41.1,0,0,1,1.0,0
135.73,142,7,0.0,1,0,1,0.8,1
54.42,38,1,16.7,0,0,0,0.56,0
27.51,149,3,10.4,0,1,0,0.55,0
143.92,59,2,18.9,0,1,1,0.77,0
58.45,25,7,0.0,1,1,0,0.45,1
19.64,158,2,0.0,1,0,1,1.0,0
95.88,43,6,37.6,1,0,0,0.92,0
117.53,37,2,50.9,0,0,0,0.72,0
15.0,49,5,0.0,0,1,0,0.64,0
35.31,88,1,33.1,0,0,0,0.98,0
56.16,30,3,54.5,0,0,0,0.64,0
97.26,29,5,39.9,0,0,0,0.66,0
43.15,71,5,9.5,1,0,1,0.7,1
35.13,40,7,0.0,1,1,1,0.84,1
96.8,35,6,24.4,0,1,0,0.92,0
44.5,164,4,29.4,0,1,0,1.0,0
85.83,107,3,24.9,0,1,1,0.99,0
29.3,3,2,16.6,1,0,1,0.82,0
25.05,19,7,0.0,1,0,1,0.98,1
98.59,146,5,34.7,1,0,1,0.71,1
71.1,49,7,36.1,0,1,0,0.53,1
109.9,28,4,28.0,0,1,0,0.71,1
42.68,120,4,25.3,1,0,0,0.69,0
35.99,151,6,72.4,0,1,1,0.72,1
146.13,72,6,3.3,0,1,1,0.67,1
22.42,133,2,60.4,0,0,1,0.75,0
136.11,76,4,0.0,0,1,1,0.92,0
142.36,20,2,55.3,1,1,1,1.0,1
105.54,143,6,59.0,0,0,1,0.54,0
38.59,165,1,13.2,1,0,0,0.61,0
35.49,177,6,71.8,0,1,0,0.69,1
52.64,18,7,36.1,0,1,0,0.94,1
26.0,102,1,0.0,1,1,1,0.79,0
32.29,112,5,10.8,1,0,0,0.7,0
91.75,15,1,56.0,1,1,1,0.93,1
92.03,171,3,49.7,1,1,0,0.97,0
30.5,19,3,0.0,1,0,1,0.82,0
93.64,49,4,17.8,1,1,1,0.69,0
81.07,174,7,28.1,1,0,0,0.86,0
161.0,100,4,6.8,1,0,1,0.78,1
87.35,122,3,92.7,0,1,1,0.78,1
120.07,89,1,29.0,0,0,0,0.74,0
82.28,135,7,20.1,0,1,0,0.97,0
114.09,15,3,57.7,0,1,1,0.86,1
26.14,121,4,11.0,0,1,1,0.99,0
55.75,12,1,52.2,1,1,0,1.0,0
58.83,33,3,0.0,1,1,1,0.89,1
51.5,91,4,8.4,0,1,0,0.74,0
80.52,81,7,53.5,0,1,1,0.99,1
91.14,28,3,69.1,1,1,1,0.89,1
77.86,143,4,0.0,0,0,0,1.0,0
53.78,55,7,0.0,1,0,0,0.87,1
37.4,156,3,39.0,1,0,1,0.93,0
123.12,3,3,3.3,0,1,0,0.87,0
75.74,43,1,13.9,1,1,0,0.8,0
31.12,54,7,48.3,0,1,0,0.78,0
53.2,107,1,5.7,0,0,0,0.87,0
19.43,72,2,0.0,1,0,0,0.9,0
61.74,29,1,0.0,1,0,1,1.0,0
53.04,103,5,22.3,1,1,1,0.87,1
41.54,172,3,0.0,1,1,1,0.75,0
169.02,24,5,13.1,0,0,0,0.77,0
28.46,46,5,0.0,1,1,0,0.61,1
95.5,86,1,71.2,0,0,1,1.0,0
249.97,131,3,87.0,0,1,1,0.73,1
121.54,25,1,0.0,1,1,1,0.97,1
59.12,42,1,29.7,0,0,0,0.86,0
28.87,43,4,0.0,0,1,0,0.87,0
24.89,111,2,12.7,0,1,1,0.8,0
46.18,15,1,76.1,0,1,0,0.69,0
38.61,119,3,8.0,1,0,1,0.67,0
37.8,77,4,13.4,1,0,1,1.0,0
48.81,59,7,0.0,1,0,1,0.84,1
56.46,155,5,56.4,0,0,0,1.0,0
82.71,147,3,0.0,1,1,1,1.0,0
26.99,144,4,8.7,1,1,1,0.75,0
38.73,159,1,20.6,0,1,1,0.89,0
54.39,42,3,2.2,1,0,1,0.83,0
53.14,154,5,47.9,0,1,0,0.63,0
199.07,32,1,58.1,1,1,1,0.79,1
70.17,60,7,0.0,1,1,1,0.91,1
21.14,100,4,84.8,1,1,1,0.74,1
79.19,134,6,0.0,0,1,0,0.77,0
86.03,104,2,60.7,1,0,1,0.79,0
55.63,101,6,26.5,1,0,0,1.0,0
27.42,68,3,6.9,1,1,1,0.53,1
189.19,107,7,9.7,1,0,1,0.9,1
30.1,86,4,21.0,0,0,0,0.78,0
92.71,86,5,28.3,0,1,0,0.72,0
68.72,105,2,0.0,0,0,0,0.78,0
89.17,108,7,15.0,0,1,0,0.93,0
182.99,60,2,0.0,0,0,0,0.94,0
86.93,25,1,0.0,0,0,1,0.85,0
41.97,54,4,0.0,1,0,1,0.99,0
123.83,74,6,0.0,0,0,0,1.0,0
40.04,29,7,9.4,0,0,1,0.95,1
67.11,32,6,35.0,1,0,0,0.73,0
26.04,171,4,25.6,1,1,1,0.9,0
30.83,51,7,81.2,0,0,0,0.9,1
62.39,133,4,0.0,1,0,0,0.69,0
76.65,23,4,36.1,0,1,0,0.57,0
19.95,175,2,22.2,0,0,0,0.5,0
83.37,39,6,46.5,0,0,1,0.83,1
35.42,71,3,43.5,1,0,1,0.87,0
138.63,140,2,17.1,0,0,1,0.63,0
48.0,37,3,27.2,1,1,1,0.99,1
29.07,99,5,0.0,1,1,1,0.84,0
63.39,141,2,40.4,0,0,0,1.0,0
33.26,5,3,0.0,1,1,0,0.88,1
137.66,5,3,45.3,0,0,1,0.65,1
60.36,142,5,21.3,1,0,1,0.89,0
54.68,48,5,7.4,0,0,1,0.93,0
88.65,163,5,15.0,1,0,0,0.73,0
31.4,167,1,17.2,0,0,0,0.59,0
