customer_id,tenure_months,monthly_spend,support_tickets,late_payments,num_logins_30d,satisfaction_score,streaming_hours_week,contract_type,payment_method,region,uses_mobile_app,uses_addon_security,churn
CUST-0001,38,47.54,0,1,25,5,7.8,Mensual,Tarjeta,Centro,1,0,0
CUST-0002,30,43.58,2,0,26,7,9.6,Bienal,Transferencia,Norte,1,1,0
CUST-0003,15,99.83,3,0,10,5,4.4,Mensual,Tarjeta,Sur,1,0,1
CUST-0004,17,69.64,3,1,30,8,4.2,Mensual,Transferencia,Centro,1,0,0
CUST-0005,44,54.81,3,0,16,9,11.6,Mensual,Billetera,Occidente,1,1,0
CUST-0006,13,88.42,5,0,16,3,1.5,Mensual,Transferencia,Sur,1,0,1
CUST-0007,20,58.51,0,0,25,6,16.2,Mensual,Billetera,Centro,1,1,0
CUST-0008,13,80.83,3,1,7,3,2.2,Mensual,Débito,Centro,1,0,1
CUST-0009,49,43.52,0,0,26,7,9.6,Mensual,Transferencia,Norte,1,0,0
CUST-0010,31,42.02,1,0,15,7,12.2,Mensual,Tarjeta,Occidente,0,1,0
CUST-0011,28,54.23,2,1,1,7,12.1,Anual,Transferencia,Norte,1,0,0
CUST-0012,10,56.54,4,3,20,5,1.9,Mensual,Transferencia,Occidente,1,0,0
CUST-0013,14,35.96,2,1,31,4,9.4,Mensual,Billetera,Centro,1,0,0
CUST-0014,12,66.47,2,0,12,5,4.0,Mensual,Transferencia,Centro,1,0,0
CUST-0015,42,26.28,0,0,27,8,7.3,Anual,Débito,Sur,1,1,0
CUST-0016,25,32.68,2,0,24,8,9.9,Bienal,Billetera,Occidente,1,1,0
CUST-0017,20,41.93,1,0,38,8,6.9,Bienal,Billetera,Norte,1,0,0
CUST-0018,33,41.08,2,1,23,7,4.6,Anual,Transferencia,Centro,1,0,0
CUST-0019,15,70.86,3,2,14,7,3.1,Mensual,Billetera,Sur,1,0,0
CUST-0020,24,44.63,0,0,32,7,10.0,Anual,Billetera,Sur,0,0,0
CUST-0021,21,58.36,1,0,33,6,10.6,Mensual,Débito,Centro,1,1,0
CUST-0022,33,49.65,1,0,27,7,9.5,Mensual,Billetera,Centro,1,1,0
CUST-0023,12,89.33,6,2,6,6,4.4,Anual,Transferencia,Occidente,1,0,1
CUST-0024,14,94.4,4,2,11,4,5.4,Mensual,Tarjeta,Centro,1,0,0
CUST-0025,18,98.07,3,1,32,8,11.6,Bienal,Tarjeta,Sur,1,1,0
CUST-0026,44,44.63,1,0,17,7,9.7,Anual,Tarjeta,Sur,1,1,0
CUST-0027,23,64.61,2,0,10,7,7.2,Anual,Débito,Centro,1,0,0
CUST-0028,39,55.09,0,0,40,8,3.4,Mensual,Transferencia,Occidente,1,1,0
CUST-0029,40,57.71,0,0,24,8,3.4,Anual,Débito,Centro,1,1,0
CUST-0030,18,72.07,4,0,35,8,17.2,Mensual,Billetera,Norte,1,0,0
CUST-0031,4,64.39,4,1,45,7,13.9,Mensual,Transferencia,Sur,1,1,0
CUST-0032,10,61.75,5,0,1,4,5.0,Mensual,Billetera,Sur,1,0,1
CUST-0033,20,52.98,1,2,25,8,10.4,Anual,Tarjeta,Sur,1,0,0
CUST-0034,22,56.58,0,0,1,7,14.7,Bienal,Débito,Sur,1,0,0
CUST-0035,39,53.36,2,0,27,9,12.6,Anual,Transferencia,Norte,0,0,0
CUST-0036,30,43.12,1,0,26,8,14.8,Bienal,Billetera,Norte,1,1,0
CUST-0037,34,54.95,1,0,41,8,10.3,Anual,Tarjeta,Centro,1,1,0
CUST-0038,50,51.03,2,0,23,8,9.3,Mensual,Tarjeta,Sur,1,0,0
CUST-0039,11,46.74,2,0,36,9,11.0,Mensual,Transferencia,Occidente,1,1,0
CUST-0040,20,81.14,5,0,37,6,8.5,Bienal,Tarjeta,Norte,1,1,0
CUST-0041,7,55.05,4,0,19,9,7.2,Bienal,Transferencia,Centro,1,0,0
CUST-0042,1,83.56,2,3,16,5,3.2,Mensual,Transferencia,Sur,1,0,0
CUST-0043,1,54.96,0,1,19,8,17.4,Anual,Transferencia,Centro,1,0,0
CUST-0044,51,43.77,0,0,40,7,8.9,Anual,Tarjeta,Centro,1,1,0
CUST-0045,4,60.3,3,2,15,8,4.1,Mensual,Billetera,Occidente,1,1,0
CUST-0046,5,70.61,3,0,3,3,4.8,Mensual,Transferencia,Norte,1,0,1
CUST-0047,34,43.47,0,2,24,6,9.6,Bienal,Tarjeta,Occidente,1,0,0
CUST-0048,32,47.63,1,0,23,9,6.9,Anual,Tarjeta,Sur,1,0,0
CUST-0049,13,81.48,0,0,37,7,16.9,Anual,Billetera,Sur,1,0,0
CUST-0050,52,51.59,1,0,24,9,10.7,Bienal,Transferencia,Occidente,1,0,0
CUST-0051,14,71.72,0,0,21,9,7.4,Bienal,Débito,Sur,0,0,0
CUST-0052,24,38.62,0,0,29,8,10.2,Bienal,Débito,Sur,1,1,0
CUST-0053,1,87.0,6,3,11,7,9.9,Anual,Transferencia,Centro,1,0,1
CUST-0054,38,72.6,4,0,38,8,8.0,Anual,Billetera,Sur,1,1,0
CUST-0055,30,67.64,6,1,16,8,9.8,Bienal,Transferencia,Centro,1,0,0
CUST-0056,9,92.89,5,3,20,4,3.3,Anual,Tarjeta,Sur,1,0,1
CUST-0057,25,48.49,2,3,33,8,8.4,Mensual,Transferencia,Centro,1,0,0
CUST-0058,31,60.65,1,2,16,8,8.7,Mensual,Billetera,Norte,1,0,0
CUST-0059,22,40.6,0,1,24,8,8.2,Anual,Tarjeta,Sur,1,1,0
CUST-0060,31,53.39,2,1,22,9,6.9,Anual,Tarjeta,Centro,1,1,0
CUST-0061,6,47.52,6,1,22,8,16.7,Mensual,Billetera,Occidente,0,1,0
CUST-0062,33,57.48,1,0,24,8,9.5,Anual,Tarjeta,Sur,1,1,0
CUST-0063,12,57.44,3,3,29,6,8.2,Anual,Billetera,Centro,1,0,0
CUST-0064,2,78.29,1,0,28,8,13.6,Mensual,Billetera,Centro,1,0,0
CUST-0065,20,74.25,0,3,26,6,4.7,Mensual,Billetera,Centro,1,0,0
CUST-0066,16,56.59,1,1,22,9,9.4,Anual,Débito,Norte,1,0,0
CUST-0067,12,56.26,4,1,33,6,14.3,Mensual,Billetera,Norte,1,0,0
CUST-0068,35,69.71,1,0,19,7,7.9,Bienal,Débito,Norte,1,1,0
CUST-0069,42,59.12,0,0,29,7,9.0,Anual,Billetera,Sur,1,0,0
CUST-0070,44,60.65,1,0,28,8,12.6,Anual,Transferencia,Occidente,1,0,0
CUST-0071,22,42.19,2,0,35,9,9.7,Bienal,Billetera,Norte,1,0,0
CUST-0072,17,56.59,1,0,13,9,13.6,Mensual,Transferencia,Centro,1,1,0
CUST-0073,11,37.63,3,2,17,5,6.0,Mensual,Tarjeta,Occidente,1,0,0
CUST-0074,32,41.04,1,0,24,7,11.4,Anual,Débito,Norte,1,0,0
CUST-0075,46,49.24,3,1,26,10,13.7,Anual,Tarjeta,Norte,1,1,0
CUST-0076,26,40.89,1,0,13,8,6.8,Mensual,Tarjeta,Occidente,1,1,0
CUST-0077,49,44.18,1,0,24,8,8.6,Mensual,Transferencia,Centro,1,0,0
CUST-0078,24,58.58,3,0,31,9,6.9,Mensual,Billetera,Norte,1,1,0
CUST-0079,11,93.47,0,0,29,7,9.7,Anual,Billetera,Occidente,0,0,0
CUST-0080,6,119.39,5,1,20,5,9.1,Mensual,Débito,Occidente,1,0,1
CUST-0081,7,97.97,1,4,26,4,16.2,Mensual,Débito,Norte,1,0,0
CUST-0082,44,42.2,1,3,14,10,10.2,Anual,Débito,Centro,1,0,0
CUST-0083,5,82.91,4,2,5,5,8.7,Mensual,Tarjeta,Sur,1,0,1
CUST-0084,39,59.67,1,0,16,8,7.6,Mensual,Débito,Occidente,1,1,0
CUST-0085,36,78.66,0,1,26,8,15.2,Anual,Transferencia,Sur,1,0,0
CUST-0086,24,48.89,1,0,20,7,9.7,Anual,Billetera,Centro,0,0,0
CUST-0087,26,81.57,1,0,42,5,17.3,Anual,Billetera,Occidente,1,1,0
CUST-0088,45,48.15,2,0,17,8,12.6,Mensual,Transferencia,Norte,1,1,0
CUST-0089,24,34.02,1,0,28,8,10.7,Mensual,Billetera,Occidente,1,0,0
CUST-0090,18,53.65,0,0,38,8,14.1,Anual,Tarjeta,Occidente,1,1,0
CUST-0091,29,53.47,3,1,27,8,7.2,Bienal,Tarjeta,Centro,1,1,0
CUST-0092,22,71.32,1,2,23,5,16.3,Mensual,Billetera,Occidente,1,0,0
CUST-0093,35,56.53,0,1,18,9,11.1,Anual,Transferencia,Norte,1,1,0
CUST-0094,24,50.04,1,1,22,9,7.7,Mensual,Débito,Centro,1,1,0
CUST-0095,39,52.85,0,0,24,8,11.1,Anual,Débito,Centro,1,1,0
CUST-0096,27,84.4,3,1,29,8,6.2,Mensual,Billetera,Norte,1,0,0
CUST-0097,46,57.9,0,1,17,8,9.8,Bienal,Transferencia,Occidente,1,0,0
CUST-0098,46,48.46,0,1,26,7,13.9,Anual,Débito,Occidente,1,1,0
CUST-0099,28,53.74,0,0,21,7,12.2,Mensual,Débito,Norte,1,1,0
CUST-0100,1,64.21,5,2,8,3,4.6,Mensual,Transferencia,Occidente,1,0,1
CUST-0101,10,70.06,0,3,29,6,6.6,Mensual,Transferencia,Sur,0,0,0
CUST-0102,19,79.31,1,2,18,6,12.7,Mensual,Billetera,Sur,1,0,0
CUST-0103,31,49.23,1,0,24,8,8.3,Anual,Tarjeta,Sur,1,1,0
CUST-0104,16,51.57,4,6,18,4,2.3,Mensual,Tarjeta,Sur,1,0,1
CUST-0105,6,63.45,3,2,29,6,14.5,Anual,Billetera,Occidente,1,0,0
CUST-0106,11,61.9,3,0,22,4,8.8,Mensual,Billetera,Centro,1,0,0
CUST-0107,28,53.79,1,1,14,9,14.0,Anual,Débito,Sur,1,0,0
CUST-0108,35,44.7,2,1,33,8,8.7,Bienal,Débito,Centro,1,0,0
CUST-0109,54,58.51,5,0,24,8,14.8,Anual,Débito,Centro,1,1,0
CUST-0110,8,95.61,1,1,22,6,9.3,Mensual,Tarjeta,Centro,0,0,0
CUST-0111,18,33.22,1,1,8,9,11.8,Anual,Débito,Centro,1,1,0
CUST-0112,10,46.33,3,2,32,9,9.8,Mensual,Tarjeta,Centro,1,1,0
CUST-0113,49,48.5,1,1,22,9,10.9,Mensual,Débito,Centro,1,1,0
CUST-0114,8,70.66,0,0,37,7,10.8,Mensual,Tarjeta,Centro,1,0,0
CUST-0115,30,29.97,0,0,27,7,4.4,Mensual,Débito,Sur,1,1,0
CUST-0116,1,94.88,7,1,17,4,6.8,Mensual,Tarjeta,Occidente,1,0,1
CUST-0117,16,69.15,2,1,28,8,18.7,Mensual,Débito,Centro,1,1,0
CUST-0118,21,61.91,0,0,32,7,14.2,Mensual,Billetera,Centro,1,0,0
CUST-0119,56,36.72,1,1,34,10,10.3,Anual,Transferencia,Norte,1,1,0
CUST-0120,26,99.27,3,1,35,7,14.6,Mensual,Tarjeta,Norte,1,0,0
CUST-0121,25,80.87,0,0,28,7,9.5,Anual,Billetera,Occidente,0,0,0
CUST-0122,29,72.46,4,1,39,7,6.6,Mensual,Billetera,Occidente,1,0,0
CUST-0123,49,44.28,1,1,30,9,10.9,Mensual,Débito,Norte,1,1,0
CUST-0124,38,43.85,0,0,11,8,5.7,Anual,Tarjeta,Centro,0,1,0
CUST-0125,19,72.68,0,0,18,8,7.1,Bienal,Transferencia,Occidente,0,0,0
CUST-0126,21,102.4,1,2,38,6,9.2,Mensual,Billetera,Occidente,1,0,0
CUST-0127,25,55.27,0,0,28,8,8.2,Mensual,Débito,Centro,1,1,0
CUST-0128,42,54.34,0,0,24,9,11.8,Bienal,Tarjeta,Sur,1,1,0
CUST-0129,36,40.17,4,0,36,7,7.6,Anual,Billetera,Sur,1,0,0
CUST-0130,2,76.5,2,1,35,6,10.0,Anual,Billetera,Centro,1,0,0
