customer_id,tenure_months,monthly_spend,support_tickets,late_payments,num_logins_30d,satisfaction_score,streaming_hours_week,contract_type,payment_method,region,uses_mobile_app,uses_addon_security,churn
ALT-0001,65,100.85,3,2,21,5.2,4.8,quarterly,card,metro,1,0,0
ALT-0002,38,96.56,3,3,20,6.3,9.3,monthly,digital_wallet,metro,1,0,1
ALT-0003,66,132.71,6,0,27,6.5,11.0,monthly,digital_wallet,south,1,0,0
ALT-0004,47,91.1,2,0,15,6.1,11.3,monthly,card,metro,1,0,0
ALT-0005,14,84.39,5,1,29,9.8,12.1,monthly,bank_transfer,north,0,1,0
ALT-0006,62,98.68,4,0,29,5.6,6.4,quarterly,cash,center,1,1,0
ALT-0007,60,105.43,3,2,18,7.5,9.6,annual,digital_wallet,metro,1,1,0
ALT-0008,59,98.25,4,1,11,10.0,4.1,monthly,card,metro,1,1,0
ALT-0009,25,76.0,3,2,3,4.5,11.8,quarterly,bank_transfer,center,1,1,0
ALT-0010,72,87.42,1,0,21,9.4,4.4,annual,bank_transfer,center,1,0,0
ALT-0011,53,102.95,2,2,27,2.6,7.4,monthly,digital_wallet,center,1,1,0
ALT-0012,72,133.52,3,0,27,6.5,8.2,monthly,card,south,0,0,0
ALT-0013,49,70.64,2,1,16,6.7,3.7,annual,card,metro,1,0,0
ALT-0014,59,95.83,4,0,12,3.8,7.3,monthly,bank_transfer,metro,1,1,0
ALT-0015,33,74.35,5,0,16,9.7,10.2,quarterly,card,center,1,0,0
ALT-0016,35,77.85,0,1,21,7.2,10.7,quarterly,card,south,1,1,0
ALT-0017,44,76.25,2,1,34,10.0,8.0,annual,cash,south,1,0,0
ALT-0018,19,60.73,3,1,30,2.2,6.7,monthly,card,metro,1,1,0
ALT-0019,45,107.57,4,1,13,6.3,15.0,quarterly,card,metro,0,0,0
ALT-0020,34,71.4,1,2,23,7.3,0.6,monthly,card,north,0,0,0
ALT-0021,42,82.73,0,0,14,9.1,12.4,monthly,bank_transfer,south,1,0,0
ALT-0022,60,95.69,4,1,37,6.1,1.7,monthly,card,metro,0,1,0
ALT-0023,37,107.97,3,0,15,7.2,10.4,monthly,bank_transfer,south,1,1,0
ALT-0024,33,83.08,2,0,17,7.0,8.2,monthly,card,metro,1,1,0
ALT-0025,63,118.34,3,1,16,5.6,10.5,monthly,card,metro,0,1,0
ALT-0026,13,49.34,0,0,16,8.9,4.0,monthly,digital_wallet,metro,1,0,0
ALT-0027,37,83.04,2,0,16,7.6,9.3,monthly,card,center,1,1,0
ALT-0028,24,66.83,0,0,14,5.3,11.1,quarterly,cash,metro,0,0,0
ALT-0029,22,47.43,3,3,9,7.4,2.1,annual,digital_wallet,metro,1,0,1
ALT-0030,40,77.12,1,2,12,7.2,11.1,quarterly,bank_transfer,metro,1,0,0
ALT-0031,7,49.5,2,1,32,8.0,6.1,annual,cash,metro,1,0,0
ALT-0032,10,53.26,1,1,15,7.4,10.0,annual,bank_transfer,south,1,0,0
ALT-0033,69,111.92,3,0,17,6.1,6.2,monthly,card,center,0,1,0
ALT-0034,59,92.84,4,0,23,6.3,0.8,annual,bank_transfer,center,1,1,0
ALT-0035,33,70.06,4,1,11,7.5,7.3,quarterly,card,metro,1,0,0
ALT-0036,48,103.04,1,1,21,7.2,10.6,monthly,card,center,1,0,0
ALT-0037,57,104.77,1,1,24,4.9,8.3,quarterly,card,metro,1,0,0
ALT-0038,25,55.09,1,0,18,8.6,8.9,annual,bank_transfer,center,1,0,0
ALT-0039,25,83.84,2,1,24,5.6,8.6,monthly,card,north,1,0,0
ALT-0040,33,102.54,2,2,7,6.3,12.6,monthly,card,center,1,0,1
ALT-0041,38,116.06,3,3,15,4.1,15.5,monthly,card,metro,1,1,1
ALT-0042,1,32.87,0,0,17,4.6,5.5,monthly,card,center,1,0,0
ALT-0043,70,112.28,2,0,18,6.7,8.4,monthly,card,metro,0,0,0
ALT-0044,14,64.07,2,0,18,5.6,12.3,quarterly,card,center,1,0,0
ALT-0045,44,109.66,3,2,29,3.7,12.7,monthly,card,north,1,0,0
ALT-0046,8,53.48,3,0,20,4.5,4.5,monthly,bank_transfer,metro,0,0,1
ALT-0047,68,122.33,3,0,16,5.5,9.7,monthly,bank_transfer,metro,0,1,0
ALT-0048,49,83.71,3,1,17,10.0,6.8,monthly,bank_transfer,center,1,0,0
ALT-0049,36,108.66,2,3,28,5.0,12.6,monthly,cash,metro,1,1,0
ALT-0050,57,110.08,3,0,20,5.0,13.8,monthly,card,south,0,0,0
ALT-0051,32,89.9,5,1,20,8.8,8.4,monthly,digital_wallet,center,0,0,0
ALT-0052,17,86.22,4,1,10,3.9,13.9,monthly,card,south,1,0,1
ALT-0053,55,89.85,2,1,19,7.7,4.6,monthly,card,center,1,1,0
ALT-0054,49,97.56,1,0,28,5.9,5.3,monthly,cash,metro,0,1,0
ALT-0055,19,73.66,1,0,19,6.1,5.1,monthly,cash,center,1,1,0
ALT-0056,4,54.37,0,0,16,6.4,3.3,monthly,cash,metro,0,0,0
ALT-0057,44,69.2,0,0,27,6.9,10.6,annual,bank_transfer,metro,1,1,0
ALT-0058,55,99.61,3,1,12,4.7,7.5,monthly,card,metro,1,1,0
ALT-0059,3,55.47,1,2,21,9.5,2.4,monthly,bank_transfer,center,1,1,0
ALT-0060,66,111.34,1,1,14,7.1,10.0,quarterly,bank_transfer,center,0,1,0
ALT-0061,58,104.72,1,2,16,5.3,8.1,monthly,card,south,0,1,0
ALT-0062,28,61.19,3,2,19,6.7,2.3,quarterly,cash,south,1,0,0
ALT-0063,3,66.69,3,1,28,4.3,11.8,monthly,bank_transfer,south,1,1,0
ALT-0064,14,76.26,1,0,21,6.5,7.2,monthly,card,metro,1,1,0
ALT-0065,5,57.73,1,1,19,6.4,7.7,monthly,digital_wallet,north,0,1,0
ALT-0066,62,87.2,0,0,30,7.6,8.7,monthly,card,south,1,0,0
ALT-0067,1,51.34,4,1,14,6.3,5.7,monthly,card,center,1,1,1
ALT-0068,54,98.03,3,0,21,8.1,13.1,quarterly,digital_wallet,north,1,1,0
ALT-0069,53,94.69,4,0,9,8.8,9.2,annual,cash,north,1,0,0
ALT-0070,58,92.61,3,1,18,5.4,5.5,monthly,bank_transfer,center,0,1,0
ALT-0071,2,59.54,0,0,22,5.9,12.1,monthly,bank_transfer,metro,1,1,0
ALT-0072,50,109.36,2,1,18,5.9,15.5,monthly,card,metro,1,0,0
ALT-0073,65,98.04,3,1,18,8.3,1.6,monthly,bank_transfer,north,1,1,0
ALT-0074,1,62.66,1,1,23,8.0,10.2,monthly,digital_wallet,center,1,0,0
ALT-0075,56,95.67,4,2,29,5.4,3.2,monthly,card,center,1,1,0
ALT-0076,52,117.51,1,3,16,7.1,5.7,monthly,card,south,1,0,0
ALT-0077,32,85.47,0,1,14,7.7,4.3,monthly,cash,north,1,0,0
ALT-0078,36,80.21,0,1,23,3.8,9.8,quarterly,bank_transfer,north,1,0,0
ALT-0079,2,63.68,1,3,23,6.4,12.0,monthly,card,south,0,0,1
ALT-0080,43,97.28,1,1,14,6.9,12.1,monthly,bank_transfer,center,1,1,0
ALT-0081,56,94.68,4,0,24,4.4,0.0,monthly,cash,metro,1,1,0
ALT-0082,52,99.4,2,0,23,7.8,9.5,quarterly,card,south,1,1,0
ALT-0083,1,69.68,3,0,20,8.1,14.5,monthly,card,metro,0,0,0
ALT-0084,5,46.82,2,1,12,7.2,2.2,monthly,card,metro,0,0,1
ALT-0085,2,30.9,1,0,16,7.6,3.5,monthly,bank_transfer,metro,1,1,0
ALT-0086,63,105.87,1,2,18,8.8,11.7,annual,bank_transfer,north,1,0,0
ALT-0087,21,72.3,2,0,16,8.3,14.0,annual,bank_transfer,metro,1,0,0
ALT-0088,52,111.74,5,2,13,8.4,6.4,monthly,card,metro,0,0,1
