customer_id,age,tenure_months,monthly_charge_usd,support_calls_last_3m,data_usage_gb,payment_delay_days_avg,complaints_last_6m,satisfaction_score,promotion_used,contract_type,churn
C4100153,18,1,64.54,6,13.38,0,4,4.4,No,Monthly,0
C4100141,23,2,88.01,0,1.0,9,5,1.0,Yes,Monthly,1
C4100460,46,1,85.07,1,7.21,16,0,2.5,Yes,Monthly,1
C4100096,18,22,12.0,2,86.51,0,0,6.7,Yes,Annual,0
C4100468,43,23,69.43,2,53.46,9,3,9.1,Yes,Semiannual,0
C4100176,24,30,33.19,0,27.58,6,1,10.0,Yes,Annual,0
C4100428,18,20,32.16,10,14.77,0,2,4.3,No,Semiannual,0
C4100245,38,33,52.25,0,1.0,6,2,2.7,No,Semiannual,0
C4100300,32,13,12.0,5,72.84,0,2,3.2,No,Annual,0
C4100400,31,57,51.89,0,1.0,0,6,1.0,No,Annual,1
C4100263,31,24,20.5,4,53.34,0,0,10.0,No,Semiannual,0
C4100559,18,1,53.58,8,46.88,0,4,5.1,Yes,Semiannual,0
C4100558,18,28,44.04,0,39.56,0,0,9.1,No,Annual,0
C4100514,18,28,29.61,0,53.12,2,1,10.0,Yes,Annual,0
C4100305,78,70,21.91,2,31.02,0,4,7.1,No,Annual,0
C4100140,57,49,65.39,5,56.84,0,3,5.8,Yes,Annual,1
C4100062,36,35,79.13,1,61.42,3,0,4.0,No,Semiannual,0
C4100117,26,26,38.22,5,31.16,0,1,5.1,No,Semiannual,0
C4100266,18,19,66.87,4,14.32,0,2,5.9,Yes,Semiannual,0
C4100363,23,60,12.0,0,36.78,0,0,10.0,No,Annual,0
C4100511,40,15,18.86,3,54.2,0,0,3.3,Yes,Semiannual,0
C4100198,74,1,47.09,3,1.0,17,0,1.0,No,Monthly,1
C4100084,28,1,46.3,5,47.02,0,2,3.0,Yes,Monthly,0
C4100451,56,1,58.94,6,9.48,8,0,6.3,Yes,Monthly,1
C4100395,42,1,32.05,1,67.17,10,0,1.0,Yes,Monthly,0
C4100528,18,2,17.73,4,42.33,0,1,2.4,No,Semiannual,0
