id_estudiante,edad,asistencia_pct,horas_estudio_semana,tareas_entregadas_pct,promedio_previo,atrasos_mes,participa_clase,uso_plataforma_horas,jornada,area_carrera,target_riesgo_academico
1,31,94.2,6.0,44.2,5.1,1,0,4.7,vespertina,ingenieria,0
2,20,76.5,7.3,73.3,4.78,1,1,3.1,diurna,educacion,0
3,20,80.5,5.2,76.4,5.81,2,0,8.6,diurna,educacion,0
4,26,89.1,8.6,77.4,5.54,1,1,4.5,diurna,ingenieria,0
5,27,75.2,4.4,74.7,4.42,4,0,9.3,diurna,educacion,1
6,24,84.8,5.1,93.9,6.46,3,0,8.6,diurna,ingenieria,0
7,26,93.4,1.5,92.8,4.71,2,0,7.9,diurna,ingenieria,0
8,29,55.8,4.1,66.1,5.25,2,1,3.6,diurna,administracion,1
9,27,66.7,4.1,83.4,5.25,0,1,5.8,online,ingenieria,0
10,43,80.3,3.9,100.0,4.97,2,0,3.3,diurna,salud,0
11,23,64.8,12.9,82.3,4.53,0,1,4.2,online,salud,0
12,32,72.0,4.7,98.9,3.39,3,1,5.0,vespertina,educacion,1
13,21,100.0,1.0,44.3,5.56,3,1,3.2,diurna,educacion,0
14,27,74.0,6.3,56.2,4.9,2,0,6.4,vespertina,administracion,1
15,38,48.4,3.1,75.7,4.7,2,0,3.7,diurna,ingenieria,1
16,32,83.9,8.3,100.0,5.97,3,1,5.5,diurna,administracion,0
17,23,54.6,5.7,82.2,6.72,2,0,0.0,diurna,educacion,0
18,42,79.7,7.5,71.9,5.42,3,0,7.2,diurna,administracion,0
19,31,55.3,2.2,43.8,6.15,0,0,3.0,vespertina,administracion,1
20,27,77.3,5.0,59.4,7.0,1,0,2.2,online,administracion,0
21,24,91.9,5.1,74.7,4.3,1,1,7.5,diurna,ingenieria,0
22,39,75.9,11.2,77.5,3.85,3,0,0.9,diurna,ingenieria,0
23,25,85.1,12.1,68.3,4.09,1,0,5.4,vespertina,educacion,0
24,22,50.4,4.1,58.1,4.96,0,0,8.3,diurna,administracion,1
25,25,77.8,14.8,69.3,5.03,0,0,8.7,vespertina,administracion,0
26,42,82.5,1.5,58.4,5.29,1,1,5.5,diurna,ingenieria,0
27,21,68.4,12.4,69.2,5.53,4,0,3.3,online,ingenieria,0
28,24,70.3,9.1,65.2,4.55,2,1,8.3,online,educacion,0
29,31,81.8,4.0,59.1,5.43,2,1,0.5,online,salud,1
30,24,71.0,6.1,58.3,4.47,3,0,6.3,diurna,ingenieria,1
31,32,70.3,3.0,100.0,5.41,3,0,4.3,diurna,ingenieria,0
32,23,67.4,2.4,100.0,5.92,5,1,10.5,diurna,ingenieria,0
33,38,78.6,3.5,63.6,4.17,1,1,0.0,diurna,educacion,0
34,38,100.0,2.6,61.4,3.81,2,1,0.0,online,ingenieria,1
35,20,80.3,9.2,68.7,6.08,1,0,8.9,diurna,ingenieria,0
36,20,100.0,6.8,66.5,4.62,0,0,6.2,vespertina,salud,0
37,23,60.2,4.9,97.4,7.0,2,0,1.6,diurna,salud,0
38,27,86.3,10.7,56.4,5.19,2,0,4.0,diurna,salud,0
39,27,73.3,5.1,68.6,6.8,3,0,6.3,diurna,salud,0
40,36,77.8,7.8,86.8,3.07,3,0,6.4,diurna,ingenieria,0
