id_maquina,temperatura_motor_c,vibracion_mm_s,presion_hidraulica_bar,horas_operacion,ciclos_acumulados,humedad_ambiente_pct,ruido_db,turno,linea_produccion,target_falla_30d
1,61.81,4.21,91.6,7635,17955,5.0,67.6,B,L4,0
2,56.64,6.72,63.9,2073,33710,69.8,65.4,B,L3,0
3,76.06,2.5,95.3,6785,42040,55.9,71.5,A,L4,0
4,71.08,5.28,77.9,6023,55897,55.0,82.9,C,L3,1
5,52.8,6.16,122.3,3905,32222,59.9,74.2,A,L1,0
6,67.26,1.78,71.6,7339,22355,30.0,54.3,B,L3,0
7,67.45,3.01,94.4,750,42013,41.8,80.9,B,L2,0
8,72.84,1.24,100.7,5634,107703,59.4,65.2,B,L1,0
9,51.45,9.03,97.6,5869,87490,26.8,81.5,A,L2,1
10,77.1,1.44,80.8,5738,44434,56.5,66.7,C,L1,0
11,61.73,1.75,71.6,6084,119664,56.2,67.5,A,L3,0
12,68.12,2.27,92.8,1509,30356,75.3,86.1,B,L3,0
13,66.25,5.3,80.4,5110,4048,43.3,64.3,B,L3,0
14,,2.66,73.2,6414,102994,77.8,65.2,B,L2,0
15,75.39,2.46,101.3,5007,112596,5.0,82.3,A,L4,0
16,69.11,7.02,77.7,2180,24009,24.9,83.5,A,L4,1
17,55.75,3.43,78.2,1724,51477,72.0,78.3,A,L1,0
18,69.9,2.07,80.0,2725,78007,39.3,81.1,A,L4,0
19,81.07,2.85,93.7,4018,18965,48.2,74.3,B,L1,0
20,70.19,1.52,70.0,5090,95213,64.0,75.6,C,L2,0
21,61.35,2.03,105.8,2565,95955,50.8,80.9,A,L1,0
22,78.26,1.51,66.0,3597,76624,22.2,64.4,B,L1,0
23,66.64,3.4,82.8,5554,41620,48.8,71.5,A,L1,0
24,68.63,2.23,68.9,5925,64800,34.6,70.4,B,L1,0
25,77.74,1.93,80.5,2407,29078,48.9,80.2,B,L3,0
26,58.12,2.69,91.1,1506,53965,18.1,76.2,A,L3,0
27,68.88,4.52,72.1,6383,104333,33.0,73.0,A,L1,0
28,70.33,2.09,116.3,7048,101568,58.2,80.0,B,L1,1
29,70.09,5.3,103.1,8561,67171,41.4,76.7,C,L4,0
30,63.4,4.2,75.2,3831,69796,56.8,79.2,A,L3,0
31,56.02,2.2,78.6,3813,87428,71.8,67.8,B,L2,0
32,50.42,6.13,92.8,4615,90908,79.6,74.0,A,L3,0
33,71.27,2.72,69.2,7228,32910,57.5,61.6,B,L1,0
34,72.32,1.75,76.1,251,40231,41.2,64.7,A,L4,0
35,72.37,3.98,110.8,7954,3960,42.0,51.1,B,L4,0
36,64.52,4.31,67.6,5522,73868,33.2,60.5,C,L3,0
37,67.96,1.36,73.0,138,56346,33.4,75.2,C,L1,0
38,69.36,4.04,73.5,4714,58117,71.7,67.7,A,L4,0
39,68.64,2.62,73.4,6088,20088,48.3,56.6,B,L1,0
