id_transaccion,monto_usd,hora_operacion,distancia_ubicacion_km,intentos_previos_1h,antiguedad_cliente_meses,dispositivo_nuevo,nivel_riesgo_pais,canal,reclamos_previos,target_fraude
1,49.49,15,241.7,1,88.7,0,medio,web,1,0
2,59.0,7,50.5,0,73.4,1,bajo,web,0,0
3,51.76,18,31.0,1,62.1,0,alto,app,0,0
4,32.41,4,92.4,4,33.5,0,bajo,app,0,0
5,85.78,5,255.5,0,38.2,1,bajo,web,1,0
6,35.1,11,167.4,0,1.0,0,medio,app,1,0
7,52.89,6,189.4,2,29.9,0,alto,app,1,0
8,53.79,22,33.2,3,47.7,0,bajo,web,0,0
9,206.0,6,38.0,2,42.7,1,bajo,pos,0,0
10,20.57,4,492.4,2,39.1,0,medio,pos,0,1
11,21.8,23,81.5,3,83.9,0,bajo,pos,0,0
12,56.36,13,126.1,2,6.9,0,bajo,app,0,0
13,21.75,8,172.8,1,31.7,1,bajo,app,0,0
14,94.16,7,61.5,0,1.0,1,bajo,web,1,1
15,108.41,2,38.6,0,32.4,0,bajo,app,0,0
16,51.32,16,199.0,4,70.5,0,bajo,web,0,0
17,18.84,12,57.6,1,12.6,1,bajo,web,0,0
18,87.27,2,16.2,2,36.9,0,bajo,web,0,0
19,111.63,6,80.1,1,16.4,0,bajo,app,0,0
20,41.33,22,54.9,0,30.5,0,medio,web,0,0
21,30.45,21,404.6,0,42.8,0,medio,web,0,0
22,42.69,13,22.0,1,57.7,0,bajo,web,0,0
23,85.12,2,160.5,1,14.4,0,bajo,app,0,0
24,38.0,12,49.6,3,52.6,0,bajo,web,0,0
25,24.12,5,41.8,1,41.2,0,bajo,web,0,0
26,34.92,1,52.3,1,23.0,0,bajo,web,0,0
27,16.59,5,19.4,1,29.9,1,bajo,web,0,0
28,98.11,17,40.5,1,39.4,0,bajo,app,0,0
29,63.56,19,205.5,0,51.6,1,bajo,pos,1,0
30,246.58,13,77.2,0,32.5,0,bajo,web,1,0
31,20.26,5,86.9,3,61.7,0,bajo,telefono,0,0
32,28.75,23,184.9,0,51.3,0,bajo,app,0,0
33,244.9,9,270.0,4,1.0,1,bajo,web,1,0
34,48.87,2,119.3,2,18.8,0,bajo,web,1,0
35,70.07,19,291.1,1,48.6,0,medio,web,0,0
