fecha_hora,pm25_ug_m3,pm10_ug_m3,no2_ppb,co_ppm,temperatura_c,humedad_pct,viento_m_s,estacion,tipo_dia,target_alerta_calidad_aire
2024-01-01 00:00:00,32.82,55.08,39.82,0.78,21.3,81.6,6.13,sur,laboral,0
2024-01-01 06:00:00,62.99,123.83,35.03,3.36,25.1,53.1,2.88,centro,fin_semana,1
2024-01-01 12:00:00,15.49,17.62,13.94,1.86,21.3,65.6,3.26,industrial,laboral,0
2024-01-01 18:00:00,29.79,56.6,29.2,0.58,10.2,40.1,2.66,sur,feriado,0
2024-01-02 00:00:00,18.69,39.19,37.16,0.64,13.5,33.8,2.77,centro,laboral,0
2024-01-02 06:00:00,36.12,95.23,36.62,1.14,15.3,86.1,1.59,centro,fin_semana,0
2024-01-02 12:00:00,35.7,63.52,57.53,2.27,18.2,61.8,0.7,sur,fin_semana,1
2024-01-02 18:00:00,12.16,29.34,32.13,0.61,17.1,70.0,2.3,centro,fin_semana,0
2024-01-03 00:00:00,11.74,12.27,31.56,1.48,4.1,52.5,3.48,centro,feriado,0
2024-01-03 06:00:00,34.86,62.66,29.43,1.27,14.8,48.6,1.42,centro,laboral,1
2024-01-03 12:00:00,25.07,41.17,27.65,0.83,20.0,22.7,6.71,sur,fin_semana,0
2024-01-03 18:00:00,27.12,41.82,40.43,3.1,10.2,61.6,4.7,norte,laboral,0
2024-01-04 00:00:00,20.81,30.47,44.54,1.29,13.4,80.3,0.33,centro,feriado,0
2024-01-04 06:00:00,23.9,48.92,19.16,1.7,14.5,78.1,3.78,centro,laboral,0
2024-01-04 12:00:00,19.45,37.22,21.77,1.61,21.9,43.9,0.4,sur,fin_semana,1
2024-01-04 18:00:00,15.35,33.01,24.8,1.0,17.7,60.0,1.28,norte,fin_semana,0
2024-01-05 00:00:00,18.71,48.67,21.92,0.61,22.7,73.5,4.65,centro,laboral,0
2024-01-05 06:00:00,24.95,48.69,20.56,2.21,32.8,63.4,2.16,centro,laboral,0
2024-01-05 12:00:00,12.74,21.87,28.16,1.36,15.4,51.1,1.96,norte,laboral,0
2024-01-05 18:00:00,27.08,59.49,21.67,1.3,19.6,36.0,0.57,sur,fin_semana,0
2024-01-06 00:00:00,10.3,17.19,36.62,4.97,16.9,36.5,2.24,sur,laboral,0
2024-01-06 06:00:00,19.76,44.62,25.52,1.54,10.1,47.7,8.1,norte,fin_semana,0
2024-01-06 12:00:00,27.18,35.9,15.22,0.55,21.3,71.7,0.41,industrial,feriado,0
2024-01-06 18:00:00,15.53,34.46,25.34,0.91,20.9,48.3,2.13,sur,fin_semana,0
2024-01-07 00:00:00,48.22,,27.18,1.22,18.7,38.7,2.5,norte,laboral,0
2024-01-07 06:00:00,15.92,38.49,25.76,0.86,21.7,95.8,1.24,industrial,laboral,0
2024-01-07 12:00:00,23.85,52.17,45.94,0.73,20.5,38.1,7.21,industrial,laboral,0
2024-01-07 18:00:00,61.63,145.45,19.48,0.92,3.2,34.2,4.74,centro,laboral,1
2024-01-08 00:00:00,45.38,87.65,30.98,1.1,5.4,39.9,4.15,industrial,laboral,1
2024-01-08 06:00:00,30.76,57.25,64.31,1.05,12.7,55.1,4.41,industrial,laboral,1
2024-01-08 12:00:00,27.81,45.92,28.64,1.8,8.1,75.8,3.0,centro,laboral,0
2024-01-08 18:00:00,24.44,50.67,34.52,0.86,16.3,92.6,4.07,industrial,laboral,0
2024-01-09 00:00:00,35.46,72.88,27.6,1.05,7.8,71.4,4.23,norte,laboral,0
2024-01-09 06:00:00,41.21,82.8,51.26,3.46,15.0,48.7,6.77,industrial,fin_semana,1
2024-01-09 12:00:00,51.57,73.41,86.62,2.19,17.6,64.8,4.85,centro,fin_semana,0
2024-01-09 18:00:00,12.1,11.55,36.38,1.31,7.9,37.7,5.03,industrial,laboral,0
2024-01-10 00:00:00,13.61,27.02,47.43,1.6,17.4,81.1,1.16,norte,laboral,0
2024-01-10 06:00:00,7.47,12.14,32.75,0.61,17.7,64.9,2.23,sur,feriado,0
2024-01-10 12:00:00,15.12,28.83,130.94,0.98,12.0,61.6,11.69,centro,laboral,0
2024-01-10 18:00:00,22.15,39.3,35.42,0.64,14.6,65.1,2.85,industrial,laboral,0
2024-01-11 00:00:00,12.35,20.38,31.44,1.33,9.9,88.8,0.28,norte,feriado,0
2024-01-11 06:00:00,17.35,43.39,32.17,0.38,20.8,29.1,1.66,industrial,laboral,1
2024-01-11 12:00:00,19.56,46.01,44.35,0.61,8.8,46.0,3.93,sur,laboral,1
2024-01-11 18:00:00,16.1,,32.93,1.02,12.3,73.6,1.69,industrial,feriado,0
2024-01-12 00:00:00,13.79,25.76,14.52,1.18,9.1,52.0,4.67,industrial,laboral,0
2024-01-12 06:00:00,,22.96,17.31,1.23,8.4,67.4,4.48,sur,laboral,0
2024-01-12 12:00:00,59.15,147.81,27.93,2.57,-2.1,70.6,7.46,industrial,laboral,1
