uso_mensual_gb,antiguedad_meses,reclamos_3m,atrasos_pago_6m,plan_premium,interacciones_soporte,real,prediccion
13.87,30,1,0,0,2,0,0
14.01,28,2,1,1,2,1,0
21.64,31,0,1,0,2,1,1
10.27,58,0,1,1,2,0,0
12.28,54,0,0,1,3,0,0
17.96,50,2,1,0,6,1,1
12.08,11,1,1,0,5,1,0
7.93,54,0,3,0,3,0,0
8.53,6,2,0,1,3,0,0
9.5,46,0,2,1,3,0,1
5.53,30,1,0,1,3,1,0
10.69,18,3,0,0,1,0,0
12.78,12,4,0,1,3,0,1
8.1,34,1,2,1,1,1,0
10.22,34,3,1,0,2,0,0
9.81,54,1,1,1,1,0,0
14.98,37,0,0,0,3,1,0
6.05,32,3,0,1,2,0,0
10.03,53,2,0,0,3,0,0
8.27,24,0,2,0,5,1,0
10.3,10,0,1,0,2,0,1
11.1,2,2,0,0,1,0,0
10.28,12,0,1,0,3,0,1
4.36,36,0,1,0,3,0,0
12.25,4,0,1,1,2,1,1
15.71,42,3,0,0,2,1,0
9.4,46,0,1,1,0,0,0
21.56,45,2,1,1,4,1,0
10.23,26,1,0,1,0,0,0
5.83,12,0,1,1,2,0,0
6.23,45,1,1,1,1,1,0
7.24,60,1,1,1,3,0,0
11.72,56,2,0,1,2,1,0
8.96,3,2,1,0,2,1,1
19.8,43,1,0,0,3,0,0
13.31,47,1,0,0,2,0,0
16.8,35,2,0,1,3,0,0
16.49,51,2,0,0,2,0,0
5.74,58,1,1,1,0,0,0
7.54,36,1,0,1,0,0,0
11.42,23,0,0,1,3,0,0
12.37,4,1,0,0,2,0,1
12.23,17,0,0,0,3,0,1
11.05,13,3,3,0,2,1,1
3.61,16,1,1,0,1,0,0
8.88,46,0,1,0,3,0,0
9.2,6,1,0,1,5,1,1
12.49,37,2,1,0,6,1,1
5.59,19,1,1,0,4,1,0
8.16,12,0,1,1,0,1,0
11.48,36,0,0,1,1,1,0
10.42,38,0,2,1,1,1,1
3.3,12,2,2,0,0,0,1
5.29,55,1,1,1,4,0,0
2.79,38,1,0,0,1,0,0
13.46,9,1,0,0,2,0,0
11.25,3,1,1,1,1,0,0
2.79,51,4,1,1,2,1,1
11.47,5,2,0,1,3,0,1
8.18,33,1,1,1,3,0,0
9.31,2,2,0,0,2,1,1
15.03,21,3,2,0,1,0,0
7.17,53,1,2,0,0,0,0
11.21,24,1,0,1,7,1,0
5.36,18,0,0,1,2,0,0
9.26,30,3,0,1,4,0,0
5.18,1,1,2,1,1,1,0
7.31,47,1,3,0,2,0,0
10.61,48,2,2,1,0,0,0
4.88,22,0,0,0,3,0,1
8.46,12,0,0,1,3,0,0
5.09,26,1,0,1,2,0,0
7.7,7,1,1,1,1,1,0
5.01,34,2,1,0,3,0,0
7.86,26,1,0,0,3,0,0
4.68,19,1,0,1,3,1,0
18.32,46,1,1,0,1,0,0
12.79,51,4,1,1,1,1,0
10.88,26,1,3,1,1,0,1
12.11,18,0,1,1,1,0,1
18.19,8,0,1,1,3,0,1
12.8,26,0,2,1,3,1,1
14.02,7,0,1,1,4,1,1
11.19,36,1,1,0,3,0,0
5.8,29,1,0,0,3,1,0
7.65,37,1,2,1,3,1,0
19.46,7,2,2,0,0,1,0
10.27,35,3,0,1,3,0,0
8.78,43,1,1,0,3,1,0
27.38,34,2,0,1,2,0,0
9.49,22,0,2,0,3,1,0
6.55,35,1,0,1,3,0,0
9.31,29,1,0,0,2,0,0
6.2,28,2,0,1,1,1,0
16.39,44,2,1,0,1,0,0
11.18,19,3,1,0,3,1,0
8.6,26,0,1,1,4,0,0
2.93,5,1,1,0,2,0,0
9.28,34,1,1,0,1,1,0
13.33,13,1,2,0,1,0,1
5.73,5,0,0,0,3,0,1
7.27,52,2,0,1,2,0,0
26.69,13,0,0,1,2,0,1
15.48,48,2,1,1,2,1,0
11.89,12,1,3,0,2,0,1
