temperatura_exterior_c,humedad_exterior_pct,ocupacion_personas,area_m2,equipos_activos,hora_pico,real,prediccion
21.83,39.91,70,97.0,11,1,43.37,43.11619608966832
17.0,87.7,84,242.2,26,0,65.95,71.04229224581768
23.84,62.8,98,291.3,10,0,57.28,52.93438475886877
24.23,44.88,37,175.6,10,1,45.12,44.41516820315268
21.84,73.28,54,141.2,7,1,41.91,43.326091885542944
16.89,60.56,21,139.1,22,0,55.48,54.33942914854608
25.14,60.99,107,125.2,28,0,57.43,62.233098433422505
3.96,82.15,24,178.6,23,1,77.85,84.37910253847555
23.73,60.83,17,358.6,14,1,66.27,69.9383535255361
34.61,33.07,118,267.7,17,1,66.77,69.66269747473959
26.17,44.17,20,198.3,21,0,61.55,53.79049829556745
14.67,49.2,19,208.9,20,0,62.51,58.4741509812046
20.26,37.16,40,246.7,26,0,61.15,65.75442211080475
8.91,41.54,99,250.2,15,0,66.35,65.87922578770122
27.52,41.06,100,179.0,8,0,42.13,43.380724584801875
16.28,49.59,45,275.9,3,1,57.0,55.594351560226194
20.41,23.87,26,269.4,29,0,63.98,75.02677085369854
15.61,69.92,42,118.2,10,0,41.73,39.30230147457018
34.88,58.42,93,136.5,27,0,59.18,62.751416946356684
12.45,49.15,7,161.3,13,0,55.21,52.677816987093266
7.52,59.08,90,51.5,6,1,59.13,52.846726577537346
4.99,47.97,22,231.1,4,0,57.75,60.3456756329252
28.45,41.01,62,127.4,16,0,52.64,43.281355183547426
29.9,49.61,6,140.9,18,1,60.68,53.32483369384928
21.12,39.58,98,239.3,6,1,46.92,50.5586847609594
26.61,61.82,80,238.0,18,1,58.25,58.03123452534731
8.96,70.92,39,188.9,3,0,52.85,49.81238401240246
25.68,54.24,44,251.9,23,0,61.34,59.92786589952108
23.02,60.25,82,168.6,7,1,52.06,43.72299453388625
38.0,58.79,46,116.3,8,1,48.43,47.560846942509315
11.4,31.18,34,40.0,29,1,60.26,76.54020049567337
12.8,58.3,63,350.4,24,0,78.29,80.50947643202245
8.98,46.64,114,156.9,21,0,61.7,67.49808321326506
9.92,56.97,21,263.8,22,0,74.37,72.06732400372428
2.62,36.03,69,195.9,25,1,87.48,85.98990510702802
13.0,65.17,66,142.5,14,1,58.5,52.51507069821134
15.05,63.19,95,229.1,6,1,55.21,54.15489217458347
12.98,51.94,59,176.1,11,1,55.45,50.782227096840664
22.58,44.78,5,272.7,7,1,53.85,56.82156810881704
6.41,53.57,115,286.8,12,0,75.49,72.87592398469364
