horas_estudio_semana,asistencia_pct,tareas_entregadas,internet_en_casa,promedio_previo,horas_sueno,participacion_clase,distancia_km,real,prediccion
7,82.5,1,1,5.69,6.1,1,4.7,0,1
12,79.5,3,0,5.74,6.3,2,8.9,0,1
11,88.2,8,0,5.57,6.5,5,0.5,1,1
3,76.1,0,1,4.76,6.6,1,15.5,0,0
9,90.4,8,0,5.39,4.9,3,12.7,1,1
12,83.4,5,0,4.01,7.8,5,28.7,0,0
6,91.9,6,1,5.03,5.3,2,0.5,1,1
16,84.0,2,1,6.9,3.5,2,11.8,1,0
19,76.6,3,0,5.06,8.2,1,10.2,0,0
16,67.0,3,0,6.9,7.5,4,17.2,1,0
5,98.2,8,1,6.9,8.1,2,4.0,1,1
13,80.5,5,1,6.3,7.4,2,9.1,1,1
24,96.0,0,1,5.08,5.7,4,14.4,1,0
23,89.6,10,1,5.63,6.6,3,7.4,1,1
8,90.2,1,0,4.76,8.0,5,10.2,0,0
23,68.7,4,0,4.71,8.0,1,7.3,0,0
5,92.7,0,1,6.02,8.3,5,8.7,1,1
4,74.4,1,0,5.57,9.4,3,16.8,0,0
5,80.4,8,0,5.06,7.4,3,7.7,1,0
4,86.5,4,1,6.52,8.1,5,17.8,1,0
20,78.2,7,0,5.09,6.7,1,8.4,0,0
17,84.3,5,1,5.28,6.9,3,9.2,1,1
7,85.7,5,1,3.81,6.1,2,17.3,0,0
20,78.4,6,1,4.85,6.2,4,7.2,1,0
11,82.7,0,0,4.67,6.7,4,2.3,1,1
19,82.5,4,1,6.02,7.8,5,14.1,1,0
11,78.4,0,1,6.4,5.3,3,4.6,1,1
18,84.3,5,0,4.9,5.3,3,9.3,1,0
18,84.8,0,0,5.45,6.7,2,12.9,0,0
17,84.9,7,0,2.75,6.4,1,3.1,0,1
13,85.8,8,1,4.82,6.3,3,14.9,1,0
7,92.0,3,0,4.85,6.7,4,8.9,0,0
11,78.3,0,1,5.6,5.2,2,19.6,0,1
25,81.1,0,1,5.37,7.3,5,11.9,1,0
20,71.3,10,1,5.43,4.1,5,16.3,1,1
3,62.1,7,0,4.21,6.8,1,5.3,0,0
2,84.6,4,1,5.51,6.9,3,8.0,0,1
8,87.8,6,0,4.77,5.9,2,7.3,0,0
18,86.3,2,0,5.03,7.0,5,13.4,1,0
5,71.4,7,0,4.79,5.6,3,10.3,0,0
9,79.0,7,0,3.1,4.5,2,0.5,0,1
13,72.3,5,0,5.51,6.1,3,10.8,0,1
12,90.3,9,1,6.02,9.1,5,25.2,1,1
10,100.0,4,1,3.95,7.1,3,7.9,0,0
15,76.7,10,1,5.62,7.2,3,18.4,1,0
11,85.5,5,1,5.99,7.2,5,6.5,1,1
17,93.6,8,1,5.49,7.4,2,1.2,1,1
16,75.1,10,0,5.66,3.8,1,11.4,0,1
5,77.6,9,1,5.29,7.1,4,19.5,0,0
8,86.7,8,1,5.56,6.9,2,8.0,1,1
8,86.3,5,0,5.92,9.0,3,4.9,1,1
25,75.0,2,1,3.04,8.1,2,19.2,0,0
11,89.8,8,1,5.94,5.5,4,10.6,1,1
16,98.3,2,0,5.5,5.4,5,11.5,1,0
16,67.2,4,0,5.63,4.6,1,2.0,0,1
8,86.7,8,0,3.92,3.9,5,12.6,0,0
1,52.4,4,0,4.36,6.6,1,4.6,0,0
18,84.6,10,0,5.32,7.2,5,19.2,1,1
8,92.9,8,1,4.05,6.4,1,11.8,0,0
8,81.0,8,0,3.62,7.1,4,16.8,0,0
14,81.5,3,1,5.89,5.9,1,18.7,0,0
17,70.9,7,0,6.18,7.0,4,0.5,1,0
17,86.7,9,1,6.55,5.9,3,16.9,1,1
25,72.6,9,0,6.15,6.5,4,8.2,1,0
6,96.8,6,1,4.18,6.9,4,17.4,0,0
12,79.1,1,1,3.56,5.4,4,8.3,0,0
14,79.3,2,1,5.09,6.4,5,16.0,0,1
1,86.8,4,1,4.57,6.5,4,0.5,0,1
12,88.4,0,0,6.85,6.5,3,10.7,1,1
20,79.1,10,0,5.11,6.0,5,1.9,1,1
14,81.0,1,1,5.12,6.1,2,0.5,0,1
19,85.7,6,1,5.4,6.6,4,12.7,1,0
10,80.7,9,1,3.57,4.6,4,7.6,0,0
3,76.4,10,0,5.2,7.7,5,16.4,0,0
16,92.9,5,1,4.76,5.6,1,11.1,0,0
1,100.0,9,0,5.55,7.3,2,12.3,1,1
5,95.4,1,0,4.85,5.0,2,17.2,0,0
2,86.6,4,1,5.54,5.6,1,10.3,0,1
4,95.3,3,1,6.59,7.7,1,4.7,1,1
25,85.1,7,0,4.52,6.9,3,11.8,1,1
5,75.9,9,1,5.01,6.3,3,13.4,0,0
3,90.6,3,1,4.86,7.0,5,0.5,0,1
6,73.2,8,0,5.48,8.5,4,13.2,0,0
6,97.4,9,0,4.72,5.7,4,19.1,1,0
5,75.5,8,0,4.65,6.5,4,26.3,0,0
1,89.5,4,1,4.55,5.9,5,2.9,0,1
14,77.9,0,0,3.81,6.3,3,0.7,0,1
24,84.7,2,1,4.04,7.6,4,5.9,1,1
3,91.3,4,1,4.51,7.0,4,3.1,0,1
13,85.3,7,1,6.62,6.4,2,13.2,1,1
