temperatura_motor_C,vibracion_mm_s,presion_bar,horas_operacion,humedad_pct,carga_pct,mantenimiento_reciente,real,prediccion
97.5,1.72,34.3,2274,83.8,79.2,1,advertencia,advertencia
79.9,5.53,29.1,550,81.9,67.2,0,normal,normal
78.5,1.38,30.5,3637,57.1,37.0,0,critica,critica
58.0,8.21,21.4,4638,57.6,73.2,0,critica,critica
76.1,4.99,23.3,4264,56.4,93.1,1,critica,critica
76.6,4.4,31.6,3764,60.8,77.6,1,critica,critica
91.1,1.91,24.4,2840,39.0,84.0,1,advertencia,advertencia
45.0,4.09,28.6,2182,57.9,68.8,1,normal,normal
90.1,7.22,33.9,1514,37.0,52.0,0,advertencia,normal
60.0,3.37,24.7,1128,16.3,58.1,1,normal,normal
63.6,4.83,41.1,821,67.0,65.8,1,normal,normal
82.2,5.13,33.4,1805,50.6,33.3,1,advertencia,normal
53.6,3.05,26.6,2353,78.6,62.3,0,advertencia,advertencia
80.5,0.72,42.6,2819,54.7,65.1,0,critica,advertencia
74.7,3.1,24.7,2373,68.4,47.7,1,advertencia,advertencia
73.8,3.1,35.7,2630,42.7,34.7,0,advertencia,advertencia
52.1,4.95,35.6,4264,68.8,100.0,0,critica,critica
78.5,4.85,39.4,4843,41.7,63.2,0,critica,critica
80.1,2.04,41.1,2235,36.3,75.0,0,advertencia,advertencia
80.6,2.71,24.9,2705,56.5,35.8,1,advertencia,advertencia
60.1,6.05,31.4,1359,81.3,64.6,1,normal,normal
61.6,5.52,34.8,1068,49.9,99.7,1,normal,normal
58.6,5.4,27.1,267,68.8,78.4,0,normal,normal
61.1,5.94,38.4,1753,24.5,66.7,0,advertencia,advertencia
82.8,2.47,26.6,647,24.4,66.1,1,normal,normal
74.9,8.0,32.4,1830,65.0,52.8,0,advertencia,normal
80.8,6.08,37.3,2805,42.6,97.4,0,critica,advertencia
77.4,2.95,27.0,4245,39.4,60.6,1,critica,critica
86.4,2.69,23.1,2654,26.3,45.9,0,advertencia,advertencia
84.7,3.01,23.0,534,72.8,97.1,1,normal,normal
70.9,3.56,23.1,2290,37.8,78.6,1,advertencia,advertencia
79.0,5.73,29.6,4701,28.5,67.3,0,critica,critica
83.2,5.59,31.8,4658,30.3,52.9,0,critica,critica
56.1,5.84,19.4,3312,77.2,69.2,0,critica,critica
63.2,2.48,32.7,4638,30.0,75.8,1,critica,critica
79.6,1.78,34.9,1985,61.0,62.5,0,advertencia,advertencia
51.5,1.73,31.3,1646,57.9,61.8,0,normal,normal
95.3,5.29,17.8,4877,54.4,100.0,0,critica,critica
35.0,4.9,37.3,3804,53.1,68.3,0,advertencia,critica
78.1,2.24,31.0,1362,45.8,77.1,1,normal,normal
88.7,2.65,39.5,4288,35.8,69.3,1,critica,critica
55.5,4.87,32.6,2197,56.9,61.2,1,advertencia,advertencia
63.4,4.74,34.6,946,54.9,70.0,1,normal,normal
85.2,6.62,27.9,3426,46.6,51.7,1,critica,critica
65.1,4.35,27.5,544,55.4,65.3,0,normal,normal
73.5,3.75,47.9,3383,52.9,49.3,0,critica,critica
47.2,3.81,23.5,1714,46.5,87.3,0,normal,normal
84.9,6.75,31.3,2260,39.6,94.5,1,advertencia,advertencia
63.9,2.9,24.6,2504,53.7,62.6,0,advertencia,advertencia
73.8,2.87,37.5,2352,36.9,78.2,1,advertencia,advertencia
61.6,5.68,35.3,516,46.3,83.4,0,normal,normal
68.8,2.29,29.5,836,70.1,77.4,0,normal,normal
84.5,3.63,38.4,2223,37.6,81.8,0,advertencia,advertencia
48.0,5.68,20.6,406,71.2,48.1,0,normal,normal
71.7,5.14,31.3,4143,57.4,70.6,1,critica,critica
74.9,2.45,29.3,4097,60.7,96.1,0,critica,critica
75.0,4.76,31.8,1264,83.4,45.0,1,normal,normal
74.0,4.14,27.9,2991,54.6,98.3,0,critica,critica
74.7,3.52,24.9,3589,31.5,91.8,0,critica,critica
68.6,6.83,35.9,1913,42.3,71.6,1,advertencia,normal
77.7,5.52,28.2,598,19.2,65.2,1,normal,normal
63.1,5.75,47.8,3411,63.0,74.4,1,critica,critica
64.7,2.66,33.7,3575,57.2,51.6,0,critica,critica
90.7,3.98,33.9,335,38.4,33.4,1,normal,normal
61.6,4.1,33.7,2756,50.8,69.4,0,advertencia,advertencia
81.2,2.34,34.4,4495,55.9,58.2,1,critica,critica
52.0,4.66,30.8,702,33.8,69.8,1,normal,normal
74.1,1.89,29.9,3273,34.1,68.5,1,critica,critica
41.2,3.52,35.5,1087,44.9,55.9,0,normal,normal
70.2,8.26,28.9,2975,41.6,53.6,1,advertencia,advertencia
45.7,6.06,39.8,4101,44.4,55.0,0,critica,critica
66.9,4.88,31.4,888,50.9,45.1,0,normal,normal
69.7,3.94,29.0,4361,60.0,66.7,0,critica,critica
62.4,5.79,27.2,1465,55.0,72.3,0,advertencia,normal
63.6,6.77,32.5,2920,63.5,76.9,0,critica,critica
68.0,9.45,30.4,3816,59.8,92.8,0,critica,critica
77.0,2.18,27.7,2976,50.2,69.6,1,advertencia,advertencia
80.9,5.52,28.7,462,46.2,53.1,0,normal,normal
60.1,6.18,27.2,4430,55.2,87.5,0,critica,critica
73.1,5.3,35.2,2711,64.7,48.7,0,critica,advertencia
78.9,1.9,34.2,2076,77.5,47.4,1,normal,advertencia
69.4,3.21,26.3,1703,48.3,54.2,1,normal,normal
61.6,2.99,22.7,619,81.3,50.2,1,normal,normal
79.6,5.37,30.3,2658,49.5,63.8,0,advertencia,advertencia
74.1,5.02,32.4,849,34.8,16.3,1,normal,normal
68.5,4.68,28.8,1060,28.7,32.9,1,normal,normal
55.6,6.27,29.9,1222,57.4,47.8,1,normal,normal
71.4,6.0,31.6,4384,42.2,71.8,0,critica,critica
73.4,5.98,34.6,656,63.2,74.2,1,normal,normal
72.6,4.93,30.6,2230,74.0,49.8,0,advertencia,advertencia
60.1,5.85,24.8,3110,36.2,96.1,1,critica,critica
78.3,4.77,32.1,1617,56.6,72.4,0,advertencia,normal
