temperatura_exterior_C,humedad_exterior_pct,ocupacion_personas,equipos_activos,hora_punta,area_m2,nivel_aislamiento,radiacion_solar,real,prediccion
26.1,54.9,86,38,0,712,3,4.1,327.17,331.56252550915775
22.4,72.9,58,26,1,719,5,2.3,291.5,258.1559919523811
20.6,70.6,41,58,1,300,4,7.0,273.51,260.0165717301589
5.3,44.3,119,4,1,508,2,4.1,293.53,277.9418223189032
21.0,46.9,94,27,1,398,1,6.7,305.73,284.1516521916971
22.0,58.7,55,16,1,752,2,5.3,277.57,258.4885124242426
16.2,70.6,65,8,1,85,2,3.2,213.75,225.40443565223674
18.1,50.8,92,53,0,119,1,4.1,345.12,306.3539899682538
14.3,44.0,48,49,1,313,4,4.3,258.42,260.71369798412684
20.4,59.9,17,36,0,110,4,4.1,163.76,169.18199044444432
16.0,59.6,72,9,1,941,3,3.5,305.8,301.9328480952383
16.7,50.4,61,4,1,907,1,5.9,291.53,288.2395634761905
18.1,53.1,64,20,0,660,2,3.9,266.14,266.7943662424242
26.1,49.3,34,39,1,158,2,3.6,245.79,220.41357883982687
36.0,77.9,6,11,1,1017,4,2.9,214.25,232.0390217619048
25.1,68.9,22,12,1,616,2,4.6,238.45,187.57026724186932
16.4,62.4,81,51,0,140,1,3.9,290.81,302.0112089523809
16.6,50.0,91,58,1,749,4,3.3,394.43,350.4153240964591
8.6,90.0,105,39,1,1117,5,4.4,388.92,380.48280574891794
20.2,50.6,81,56,1,335,5,9.0,321.25,309.37354466666665
13.3,63.1,46,4,0,454,2,4.0,182.26,209.79922867765578
31.4,55.0,83,7,0,1137,2,5.6,328.86,321.72023961904756
22.9,41.1,31,27,1,1034,5,3.1,259.77,267.76690379365067
17.2,45.0,33,53,0,327,5,5.1,187.64,244.43085346031742
13.7,58.6,112,31,0,527,2,4.0,340.47,311.2553558412697
27.4,46.1,109,9,1,751,1,4.7,364.22,342.5521884603175
35.4,65.3,33,15,0,746,1,4.9,248.41,235.9737363601952
22.2,81.6,71,10,0,384,1,5.6,257.12,252.4275709567101
23.9,45.4,26,53,1,1066,3,3.5,333.7,286.1169464444443
23.4,56.2,84,5,0,705,3,5.0,273.97,287.36722395238075
24.2,54.7,112,58,0,314,4,6.0,358.84,338.2308445396826
14.3,86.4,67,59,0,1195,3,3.3,381.14,374.36020645310253
18.1,67.0,80,36,0,420,4,5.8,270.76,276.9269760329671
9.4,77.1,65,9,0,670,4,5.6,215.92,242.83569181096667
17.9,53.9,89,51,1,366,4,4.2,340.56,307.87424144566546
7.2,55.1,66,3,1,911,4,3.2,242.51,273.36863866666664
9.7,53.2,37,8,0,426,3,0.5,177.05,196.85422570451766
21.9,69.1,117,13,0,1145,3,3.1,355.13,344.2894618888888
9.6,56.8,111,14,0,1001,3,4.0,339.61,333.9033230952382
29.8,31.5,63,32,0,339,3,4.0,265.85,254.81741735653227
17.4,71.7,33,43,0,754,4,5.1,250.86,245.9784667665668
19.7,51.6,58,34,0,800,5,1.7,291.64,270.91610584126994
8.1,60.8,76,20,1,1016,2,4.1,318.39,318.4297754761905
21.8,47.8,32,37,0,232,5,3.9,176.41,205.56667643623044
21.2,66.4,39,24,0,734,1,6.9,239.12,241.39400502397595
19.9,49.7,92,17,1,1165,1,5.1,381.38,331.37983433333324
2.0,52.7,22,7,0,718,2,6.4,173.0,191.81215848717957
15.4,55.3,59,23,1,245,3,3.8,225.36,220.89667816738827
10.6,56.4,17,8,1,640,5,2.9,175.12,175.44505939194133
13.6,23.7,79,40,0,652,5,3.4,283.95,314.6276663968254
16.9,39.2,64,24,1,118,3,6.6,213.4,231.29370546031734
25.8,54.3,19,51,1,710,1,4.1,286.34,265.33335056854247
16.5,56.4,27,25,1,144,1,4.2,213.5,188.56894114285723
26.9,74.4,21,37,0,868,4,6.9,243.89,242.35068028571428
23.6,66.4,76,3,0,999,3,3.9,282.36,304.88600390476194
28.0,46.6,41,27,0,657,3,4.3,263.32,231.83557467765561
18.5,48.0,36,55,0,1073,2,3.0,325.74,307.4452242225551
26.0,56.5,63,40,0,935,3,4.5,336.04,331.55739485714304
19.2,62.2,54,15,0,518,3,2.6,247.97,228.6506175238096
21.4,53.7,68,35,0,869,2,4.9,312.48,321.9192423650797
15.3,63.5,46,43,1,450,1,4.9,293.78,273.46166952991445
13.8,42.8,90,8,1,405,2,6.4,260.0,261.4505806839826
22.0,47.4,111,29,0,323,4,1.8,311.73,295.7577432857146
30.7,47.3,105,44,0,282,1,4.5,359.5,338.35278420634927
18.7,76.4,43,47,1,446,3,1.6,278.53,269.5916836190475
7.1,76.1,30,25,0,1087,4,3.3,230.95,251.41275776190486
18.0,43.7,38,37,1,523,1,5.9,285.04,231.46538763103578
22.7,59.1,69,48,1,938,5,4.7,369.73,341.742417809524
11.0,64.3,73,24,0,666,5,7.4,232.02,283.5741580158731
18.2,58.9,102,30,1,1150,4,6.2,383.68,357.80610974891766
15.8,51.5,57,7,1,890,3,4.1,270.29,266.2454175714286
