monto_usd,antiguedad_cliente_meses,intentos_24h,distancia_km,transaccion_noche,pais_nuevo,dispositivo_nuevo,indice_historial_confiable,real,pred_arbol,pred_random_forest,pred_mejor_rf
90.59,73,7,0.0,0,1,0,0.68,0,0,0,0
128.8,99,1,44.2,1,1,0,0.45,0,0,0,0
64.38,142,5,21.0,0,1,1,0.84,0,0,0,0
55.4,141,2,0.0,0,0,0,0.76,0,0,0,0
128.18,125,7,0.0,0,0,0,0.85,0,1,0,0
93.56,5,2,0.0,0,1,1,1.0,0,0,0,0
89.96,125,6,41.2,1,0,0,0.6,0,0,0,0
56.91,27,5,85.9,1,1,0,0.6,1,0,1,1
104.36,8,5,0.0,0,1,0,1.0,0,0,0,0
44.41,149,1,0.0,0,0,1,0.93,0,0,0,0
141.29,130,2,37.8,1,1,0,0.71,0,0,0,0
22.15,56,2,48.9,0,0,0,1.0,0,0,0,0
91.14,28,3,69.1,1,1,1,0.89,1,1,1,1
27.73,154,5,0.0,0,0,0,0.88,0,0,0,0
44.45,15,3,34.4,1,0,0,0.72,0,0,0,0
16.88,135,4,83.2,1,0,1,0.82,0,0,0,0
361.34,32,4,18.1,1,1,0,0.69,1,0,0,0
191.45,106,2,46.2,1,0,0,0.79,0,0,0,0
121.54,25,1,0.0,1,1,1,0.97,1,0,0,0
73.23,79,3,13.4,0,1,1,0.76,0,0,0,0
35.71,58,6,22.2,0,0,0,0.8,0,0,0,0
138.63,140,2,17.1,0,0,1,0.63,0,0,0,0
78.2,133,2,16.6,0,1,1,0.97,0,0,0,0
161.0,100,4,6.8,1,0,1,0.78,1,1,0,0
65.43,127,1,29.9,1,1,0,0.79,0,0,0,0
69.81,157,1,0.0,1,1,0,0.73,0,0,0,0
45.98,143,6,43.2,1,1,1,0.98,1,1,0,0
67.77,32,7,32.7,0,0,1,1.0,1,1,1,1
109.39,67,1,60.3,1,0,0,0.74,0,0,0,0
87.61,12,5,1.4,0,1,0,0.99,0,0,0,0
20.18,102,3,6.6,1,0,0,1.0,0,0,0,0
92.71,86,5,28.3,0,1,0,0.72,0,0,0,0
117.36,90,5,84.4,0,1,1,0.8,1,1,1,1
89.47,84,2,0.0,1,1,0,0.79,0,0,0,0
105.54,143,6,59.0,0,0,1,0.54,0,0,0,0
27.51,149,3,10.4,0,1,0,0.55,0,0,0,0
90.12,119,2,36.3,0,1,1,0.91,0,0,0,0
24.99,94,3,23.3,0,0,1,0.61,0,0,0,0
