age,tenure_months,monthly_charge_usd,support_calls_last_3m,data_usage_gb,payment_delay_days_avg,complaints_last_6m,satisfaction_score,promotion_used,contract_type,y_true,y_pred,prob_churn
18,14,180.0,5,52.16,15,0,3.0,No,Monthly,1,1,0.9910562450088158
63,1,52.92,2,15.98,10,3,8.2,No,Monthly,0,0,0.12816911156198396
46,35,54.04,0,38.02,0,0,7.4,Yes,Semiannual,0,0,0.17246725219755338
20,46,65.56,1,40.04,4,0,3.5,Yes,Annual,0,0,0.2662076377562904
18,44,56.02,5,60.82,4,0,5.6,No,Semiannual,0,1,0.5850525794142661
41,47,135.17,3,23.24,0,0,4.0,Yes,Semiannual,1,1,0.9503082272198785
45,51,100.87,2,9.56,0,0,2.3,No,Monthly,1,1,0.9185406154230962
70,26,122.36,1,1.0,9,0,7.2,No,Monthly,0,0,0.41400291427347913
25,48,60.19,3,79.86,5,0,2.8,No,Annual,0,0,0.4133512651032337
49,6,79.02,3,32.19,7,1,5.8,No,Monthly,0,0,0.44081933741392104
49,35,12.0,4,44.97,0,6,1.0,No,Annual,1,0,0.41161012833358707
53,24,46.54,4,36.51,0,1,3.8,Yes,Annual,0,0,0.21594428292113946
66,10,60.22,0,61.84,3,0,5.1,Yes,Annual,0,0,0.05434714105658493
62,6,177.59,2,4.37,9,0,8.2,Yes,Monthly,1,1,0.5536769194265674
57,1,12.0,5,31.46,12,6,7.1,No,Semiannual,0,0,0.18145058501630526
45,30,44.8,2,62.11,0,0,6.2,Yes,Annual,0,0,0.05545558443438279
65,10,37.65,2,27.37,0,3,8.1,Yes,Semiannual,0,0,0.04567060706409631
38,18,66.66,1,4.76,5,3,5.3,No,Monthly,0,0,0.313679657135981
37,18,12.0,2,3.76,12,2,10.0,No,Semiannual,0,0,0.19708871529706595
56,42,46.2,1,20.92,0,1,4.1,No,Monthly,1,1,0.788424129519854
55,10,12.0,0,40.72,3,3,5.6,No,Annual,0,0,0.28837151989583004
56,21,45.26,3,85.01,0,0,6.6,Yes,Annual,1,0,0.11653503664028643
33,12,159.81,1,30.03,17,0,2.8,No,Monthly,1,1,0.9691974089562226
33,60,86.24,0,12.48,0,0,4.5,Yes,Annual,1,0,0.2973766024288741
47,1,12.0,6,36.98,25,5,10.0,No,Annual,0,0,0.08091020392413398
51,4,65.41,2,28.11,2,4,2.5,Yes,Monthly,0,0,0.21620896383978983
77,1,55.69,1,49.73,0,1,7.0,Yes,Semiannual,0,0,0.049760093245830896
27,22,51.44,1,56.91,5,2,2.9,No,Semiannual,1,0,0.3503757704095659
76,3,86.88,1,1.0,17,0,10.0,Yes,Semiannual,1,0,0.2521094021601052
47,5,45.56,3,23.75,9,3,6.2,No,Semiannual,0,0,0.14928460721244488
43,34,46.63,2,37.63,0,1,5.8,Yes,Annual,0,0,0.09118766394185557
75,1,80.09,3,3.04,12,0,9.3,No,Monthly,1,0,0.27520123077583575
45,35,55.22,0,48.83,0,0,5.0,No,Annual,0,0,0.20275759194070686
57,40,63.17,2,30.14,0,0,5.9,No,Monthly,1,1,0.7252726894121999
47,37,63.3,2,31.3,0,0,3.5,Yes,Annual,0,0,0.15591670365925853
39,1,37.82,5,48.56,9,3,7.1,No,Semiannual,0,0,0.1545970538620392
78,1,61.21,3,8.53,11,1,8.5,No,Monthly,1,0,0.2741635808598709
40,48,69.62,1,1.0,1,0,5.9,No,Semiannual,1,1,0.5418604136652712
18,1,12.0,3,72.12,21,6,9.8,No,Semiannual,0,0,0.26000033301095876
50,27,65.94,2,82.21,1,0,3.9,Yes,Annual,0,0,0.08502926121515075
54,10,57.83,0,74.69,4,0,6.9,Yes,Annual,1,0,0.14481733642378475
18,21,103.52,4,61.25,9,0,5.6,No,Monthly,1,1,0.9465985010296383
19,1,12.43,4,55.91,6,6,3.7,Yes,Semiannual,0,0,0.32441176928277154
78,1,44.4,0,13.88,13,1,9.3,No,Semiannual,0,0,0.09759606944879837
42,9,79.62,4,1.0,5,4,4.9,Yes,Monthly,0,0,0.31023428663094654
18,1,95.57,0,84.23,10,0,10.0,No,Monthly,1,1,0.6534363385164923
42,18,36.29,3,35.52,1,2,5.7,Yes,Annual,0,0,0.10176784168713947
41,37,55.77,3,30.42,0,0,5.9,Yes,Annual,0,0,0.12155394884213083
39,48,40.18,1,32.99,0,0,7.2,Yes,Annual,0,0,0.19818364236701738
23,14,31.39,2,35.37,6,4,6.3,No,Semiannual,0,0,0.11662422694193035
28,57,29.94,2,7.43,0,2,5.5,No,Annual,1,0,0.25542389652539244
36,1,97.79,2,63.29,12,0,10.0,Yes,Monthly,1,1,0.7394607099100804
39,29,24.96,5,17.06,0,4,4.8,No,Semiannual,0,1,0.5359790664704489
33,41,78.65,1,45.91,0,0,4.7,Yes,Annual,0,0,0.22054650161589057
35,72,55.06,2,64.27,0,0,1.0,No,Semiannual,1,1,0.7720361592200127
52,28,28.16,7,93.1,0,0,8.5,Yes,Annual,0,0,0.18152422807507176
40,41,39.13,2,50.88,0,0,5.4,No,Annual,0,0,0.25374005796499355
69,1,27.0,1,1.0,12,3,10.0,No,Monthly,0,0,0.061572009392505046
36,27,53.62,0,63.82,0,0,7.0,Yes,Annual,0,0,0.0775286977055801
69,7,65.11,3,17.48,13,0,10.0,No,Monthly,0,0,0.17177314815636024
50,49,12.0,3,48.35,0,3,3.5,No,Semiannual,0,1,0.7729130955518249
62,23,39.1,1,34.01,0,2,5.2,Yes,Annual,0,0,0.1125091338425739
64,6,64.32,0,42.17,3,1,5.3,Yes,Annual,0,0,0.06895144625244261
56,1,31.9,0,40.7,7,5,5.3,Yes,Semiannual,0,0,0.1818002212382441
47,22,80.58,1,11.48,11,0,9.1,No,Monthly,0,0,0.41768224213020255
24,1,12.0,3,38.08,19,4,10.0,No,Annual,0,0,0.06246192018156292
38,44,30.85,2,35.72,1,1,4.3,No,Annual,0,1,0.5201104436661564
39,28,45.2,1,86.72,0,0,8.1,Yes,Annual,0,0,0.135558828067697
52,33,62.61,2,43.37,5,0,3.2,No,Annual,0,0,0.32412038827569145
50,11,67.58,0,111.25,1,0,8.0,Yes,Annual,0,0,0.152729324686656
46,23,47.72,4,54.74,0,0,7.2,Yes,Annual,0,0,0.056395886493897936
