pm25_ug_m3,pm10_ug_m3,no2_ppb,co_ppm,temperatura_c,humedad_pct,viento_m_s,estacion,tipo_dia,y_real,probabilidad_clase_1,prediccion
24.14,45.8,36.93,2.38,18.0,36.9,6.08,centro,feriado,0,0.026534134906403196,0
33.99,,19.12,0.54,18.8,98.0,3.75,sur,laboral,0,0.021176257370501585,0
12.74,26.81,44.07,1.88,12.0,85.8,3.87,centro,laboral,0,0.05485754685251263,0
13.71,29.91,48.35,2.69,15.8,41.1,2.78,norte,laboral,0,0.07085257385091909,0
26.95,43.02,42.05,2.53,24.3,90.2,3.15,norte,laboral,0,0.09487504810756095,0
10.8,20.72,26.87,1.31,28.3,55.6,1.71,centro,laboral,0,0.03605218867106942,0
21.99,42.63,43.1,1.65,18.8,65.7,7.44,norte,laboral,0,0.016268453825956868,0
7.62,13.83,17.83,0.59,18.6,49.0,2.55,industrial,laboral,0,0.037874335044300586,0
18.45,41.51,34.52,0.69,14.9,51.3,2.25,centro,laboral,1,0.04023083519408064,0
10.34,22.93,40.58,0.43,18.2,43.4,0.22,sur,fin_semana,0,0.22573747986046316,0
39.17,44.43,21.44,1.9,22.7,79.9,2.26,industrial,laboral,1,0.7914095723531587,1
34.39,66.2,8.81,0.51,24.0,40.1,4.16,sur,laboral,0,0.11201613495935162,0
19.28,38.03,56.9,0.93,15.8,60.3,4.06,centro,laboral,0,0.05499898918767983,0
33.0,58.8,24.96,0.66,31.1,88.2,2.65,sur,laboral,0,0.18586469120675822,0
13.65,27.46,50.44,0.78,15.3,57.1,5.98,industrial,laboral,0,0.056247446904363445,0
40.03,71.29,11.49,0.69,32.0,56.9,1.0,sur,laboral,1,0.24880117886605352,0
12.52,24.95,14.19,0.76,11.0,62.9,8.64,centro,fin_semana,0,0.004122871745307252,0
16.19,23.7,34.5,0.39,20.3,76.2,3.21,norte,fin_semana,0,0.009864231219705201,0
28.26,48.96,31.03,1.75,7.0,67.1,2.19,industrial,fin_semana,0,0.565381828605023,1
19.93,30.32,24.21,0.51,15.5,98.0,1.33,norte,laboral,0,0.044210078276886444,0
22.36,41.29,57.01,0.61,10.2,63.4,6.0,norte,laboral,0,0.027984397284507606,0
8.22,14.24,50.24,0.47,10.1,44.3,1.69,centro,laboral,0,0.031634101359227555,0
3.55,7.5,50.74,0.59,19.1,60.3,1.79,centro,laboral,0,0.04956825727995123,0
27.49,42.15,35.62,1.63,17.8,84.5,1.25,sur,fin_semana,0,0.1066285076253482,0
28.33,57.54,39.32,1.71,16.5,42.4,1.2,sur,laboral,0,0.4331765632983403,0
27.03,,14.83,1.48,15.1,32.8,2.15,centro,laboral,0,0.042150090159995844,0
,39.45,32.93,1.5,16.9,42.2,2.16,centro,laboral,0,0.06348103649700419,0
15.53,34.46,25.34,0.91,20.9,48.3,2.13,sur,fin_semana,0,0.026617559613653703,0
24.74,38.09,26.01,0.7,15.7,72.1,1.26,norte,laboral,0,0.05117730788887854,0
34.97,65.42,20.04,1.5,12.5,38.3,0.42,centro,laboral,1,0.450190785211022,0
22.98,56.42,35.27,1.51,14.7,37.2,1.1,norte,laboral,1,0.3306220275361992,0
9.08,21.69,36.35,1.48,15.6,47.2,4.36,industrial,laboral,0,0.09468421798469896,0
23.66,36.8,17.7,1.86,6.7,61.1,10.92,norte,laboral,0,0.006590583409687313,0
25.78,43.73,9.45,3.01,24.1,46.3,2.76,centro,laboral,1,0.0891906644674736,0
27.85,66.42,19.49,1.25,12.5,67.8,2.21,centro,fin_semana,0,0.1562624400439432,0
13.5,25.46,41.38,1.09,16.0,77.0,3.46,centro,laboral,0,0.037282433723373684,0
35.74,74.07,20.91,0.86,21.6,63.8,2.9,norte,fin_semana,0,0.14201522950385426,0
17.48,39.55,77.62,1.62,-0.8,50.8,1.43,norte,fin_semana,1,0.709515497555277,1
26.23,52.81,38.74,1.47,20.0,83.5,2.74,centro,fin_semana,0,0.1840554020463009,0
44.05,82.34,41.29,2.1,11.9,56.7,1.07,centro,laboral,1,0.8244043017439157,1
